#AGE= 7.000 EEPS=269
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
11 0.126904 3.4992 5.1908 -2.6992 12.0054 14.3791 13.1566 11.7095 11.0844 10.7949 12.6199
12 0.154536 3.5007 5.1186 -2.5357 11.5887 13.9346 12.7181 11.2913 10.6725 10.3856 12.1954
13 0.190653 3.5059 5.0631 -2.3679 11.1483 13.4199 12.2188 10.8491 10.2449 9.9670 11.7347
14 0.215769 3.5095 5.0309 -2.2677 10.8903 13.1173 11.9288 10.5914 9.9949 9.7199 11.4661
15 0.233912 3.5119 5.0096 -2.2015 10.7218 12.9196 11.7412 10.4232 9.8320 9.5574 11.2909
16 0.250853 3.5142 4.9912 -2.1436 10.5749 12.7470 11.5777 10.2771 9.6899 9.4156 11.1384
17 0.273388 3.5171 4.9701 -2.0737 10.3954 12.5345 11.3764 10.0979 9.5167 9.2436 10.9511
18 0.292137 3.5195 4.9530 -2.0187 10.2545 12.3683 11.2192 9.9572 9.3807 9.1084 10.8042
19 0.303748 3.5208 4.9409 -1.9840 10.1648 12.2630 11.1192 9.8674 9.2942 9.0229 10.7104
20 0.310560 3.5221 4.9358 -1.9638 10.1100 12.1934 11.0539 9.8119 9.2424 8.9729 10.6512
21 0.315006 3.5225 4.9312 -1.9516 10.0783 12.1574 11.0193 9.7800 9.2117 8.9426 10.6183
22 0.317806 3.5222 4.9285 -1.9460 10.0648 12.1462 11.0074 9.7665 9.1976 8.9284 10.6054
23 0.319738 3.5219 4.9275 -1.9436 10.0594 12.1443 11.0043 9.7612 9.1916 8.9220 10.6009
24 0.321080 3.5224 4.9301 -1.9424 10.0545 12.1341 10.9953 9.7559 9.1879 8.9193 10.5943
25 0.322488 3.5233 4.9329 -1.9398 10.0451 12.1152 10.9788 9.7460 9.1806 8.9131 10.5818
26 0.323934 3.5234 4.9288 -1.9336 10.0301 12.0998 10.9639 9.7312 9.1657 8.8980 10.5669
27 0.324821 3.5235 4.9264 -1.9296 10.0198 12.0885 10.9529 9.7208 9.1555 8.8880 10.5564
28 0.325640 3.5236 4.9242 -1.9258 10.0104 12.0779 10.9428 9.7114 9.1463 8.8788 10.5467
29 0.328268 3.5240 4.9184 -1.9153 9.9829 12.0468 10.9129 9.6841 9.1201 8.8529 10.5182
30 0.329551 3.5242 4.9155 -1.9098 9.9689 12.0305 10.8973 9.6701 9.1068 8.8398 10.5035
31 0.330173 3.5243 4.9125 -1.9056 9.9580 12.0184 10.8854 9.6593 9.0965 8.8294 10.4922
32 0.296740 3.5183 4.9410 -1.9917 10.1808 12.2840 11.1262 9.8865 9.3120 9.0399 10.7258
33 0.295357 3.5173 4.9426 -1.9968 10.1943 12.3015 11.1405 9.9017 9.3248 9.0510 10.7409
34 0.295595 3.5159 4.9439 -2.0004 10.2040 12.3170 11.1531 9.9136 9.3329 9.0567 10.7534
35 0.523212 3.5634 4.7491 -1.3849 8.5668 10.3002 9.2584 8.2426 7.7977 7.5848 8.9880
36 0.531191 3.5658 4.7412 -1.3606 8.5032 10.2211 9.1814 8.1795 7.7407 7.5295 8.9186
37 0.542537 3.5695 4.7304 -1.3257 8.4121 10.1058 9.0698 8.0882 7.6589 7.4503 8.8187
38 0.556011 3.5744 4.7183 -1.2830 8.2999 9.9604 8.9283 7.9756 7.5594 7.3550 8.6938
39 0.573202 3.5812 4.7045 -1.2287 8.1475 9.7558 8.7279 7.8220 7.4278 7.2325 8.5204
40 0.594826 3.5905 4.6887 -1.1601 7.9425 9.4695 8.4424 7.6163 7.2579 7.0784 8.2809
41 0.615695 3.5999 4.6744 -1.0934 7.7408 9.1886 8.1602 7.4173 7.0967 6.9316 8.0447
42 0.637486 3.6100 4.6605 -1.0241 7.5276 8.8908 7.8604 7.2100 6.9321 6.7817 7.7940
43 0.658437 3.6201 4.6481 -0.9574 7.3200 8.5995 7.5731 7.0107 6.7744 6.6380 7.5511
44 0.680254 3.6309 4.6364 -0.8883 7.1044 8.2951 7.2879 6.8060 6.6091 6.4865 7.3031
45 0.702736 3.6423 4.6253 -0.8174 6.8833 7.9814 7.0078 6.5980 6.4368 6.3285 7.0528
46 0.723111 3.6530 4.6158 -0.7531 6.6853 7.6985 6.7703 6.4128 6.2771 6.1816 6.8332
47 0.740052 3.6618 4.6078 -0.7001 6.5252 7.4703 6.5863 6.2633 6.1440 6.0588 6.6583
48 0.754308 3.6690 4.6007 -0.6556 6.3931 7.2827 6.4392 6.1402 6.0321 5.9551 6.5158
49 0.766420 3.6751 4.5944 -0.6180 6.2833 7.1275 6.3194 6.0379 5.9375 5.8676 6.3981
50 0.776802 3.6803 4.5889 -0.5861 6.1917 6.9993 6.2210 5.9526 5.8581 5.7935 6.3005
51 0.786079 3.6847 4.5836 -0.5582 6.1124 6.8896 6.1364 5.8786 5.7890 5.7289 6.2164
52 0.793079 3.6877 4.5794 -0.5376 6.0544 6.8101 6.0745 5.8243 5.7384 5.6815 6.1548
53 0.800241 3.6909 4.5749 -0.5169 5.9968 6.7320 6.0135 5.7704 5.6879 5.6342 6.0938
54 0.807500 3.6940 4.5704 -0.4963 5.9397 6.6554 5.9532 5.7170 5.6377 5.5870 6.0335
55 0.814760 3.6969 4.5657 -0.4759 5.8836 6.5804 5.8941 5.6643 5.5884 5.5405 5.9743
56 0.821965 3.6997 4.5610 -0.4557 5.8284 6.5070 5.8361 5.6125 5.5397 5.4945 5.9161
57 0.829026 3.7027 4.5562 -0.4359 5.7743 6.4356 5.7796 5.5617 5.4920 5.4494 5.8592
58 0.835865 3.7054 4.5513 -0.4164 5.7217 6.3666 5.7244 5.5124 5.4457 5.4056 5.8039
59 0.842409 3.7080 4.5465 -0.3975 5.6709 6.3003 5.6713 5.4646 5.4009 5.3631 5.7505
60 0.848627 3.7106 4.5417 -0.3792 5.6221 6.2369 5.6202 5.4187 5.3577 5.3221 5.6991
61 0.854629 3.7131 4.5370 -0.3615 5.5747 6.1757 5.5709 5.3741 5.3159 5.2825 5.6495
62 0.860436 3.7155 4.5322 -0.3442 5.5288 6.1167 5.5230 5.3308 5.2753 5.2436 5.6014
63 0.866096 3.7178 4.5274 -0.3273 5.4840 6.0594 5.4764 5.2887 5.2355 5.2057 5.5544
64 0.871637 3.7201 4.5224 -0.3105 5.4401 6.0038 5.4309 5.2473 5.1965 5.1684 5.5087
65 0.877106 3.7222 4.5175 -0.2941 5.3971 5.9497 5.3863 5.2066 5.1581 5.1316 5.4636
66 0.882507 3.7244 4.5122 -0.2779 5.3547 5.8966 5.3425 5.1666 5.1201 5.0952 5.4195
67 0.887873 3.7264 4.5071 -0.2618 5.3129 5.8446 5.2994 5.1271 5.0827 5.0591 5.3761
68 0.893201 3.7284 4.5018 -0.2459 5.2718 5.7939 5.2569 5.0881 5.0457 5.0236 5.3332
69 0.898467 3.7303 4.4963 -0.2302 5.2314 5.7442 5.2154 5.0499 5.0093 4.9885 5.2913
70 0.903632 3.7322 4.4908 -0.2147 5.1918 5.6958 5.1746 5.0123 4.9736 4.9540 5.2503
71 0.908705 3.7340 4.4853 -0.1997 5.1531 5.6487 5.1348 4.9755 4.9386 4.9201 5.2101
72 0.913671 3.7357 4.4797 -0.1849 5.1153 5.6028 5.0959 4.9396 4.9044 4.8870 5.1709
73 0.918545 3.7373 4.4741 -0.1703 5.0782 5.5581 5.0578 4.9044 4.8708 4.8546 5.1326
74 0.923308 3.7389 4.4686 -0.1560 5.0420 5.5145 5.0208 4.8700 4.8380 4.8226 5.0951
75 0.927997 3.7405 4.4628 -0.1420 5.0065 5.4719 4.9844 4.8361 4.8056 4.7914 5.0585
76 0.932571 3.7420 4.4572 -0.1284 4.9719 5.4304 4.9488 4.8032 4.7740 4.7608 5.0226
77 0.937058 3.7434 4.4515 -0.1148 4.9379 5.3899 4.9140 4.7707 4.7430 4.7305 4.9875
78 0.941459 3.7447 4.4457 -0.1016 4.9044 5.3503 4.8799 4.7389 4.7124 4.7008 4.9531
79 0.945780 3.7460 4.4399 -0.0885 4.8716 5.3117 4.8463 4.7076 4.6824 4.6715 4.9193
80 0.950047 3.7473 4.4340 -0.0756 4.8392 5.2736 4.8134 4.6766 4.6526 4.6426 4.8859
81 0.954253 3.7485 4.4281 -0.0628 4.8073 5.2361 4.7808 4.6461 4.6233 4.6139 4.8531
82 0.957781 3.7496 4.4229 -0.0521 4.7805 5.2048 4.7534 4.6205 4.5985 4.5898 4.8255
83 0.961252 3.7505 4.4179 -0.0415 4.7541 5.1742 4.7266 4.5952 4.5742 4.5660 4.7985
84 0.964662 3.7515 4.4128 -0.0312 4.7282 5.1441 4.7002 4.5704 4.5502 4.5426 4.7719
85 0.968023 3.7524 4.4078 -0.0210 4.7028 5.1146 4.6742 4.5458 4.5266 4.5195 4.7456
86 0.971341 3.7533 4.4027 -0.0109 4.6776 5.0857 4.6487 4.5218 4.5033 4.4967 4.7199
87 0.974627 3.7541 4.3975 -0.0009 4.6527 5.0571 4.6233 4.4978 4.4802 4.4741 4.6943
88 0.977896 3.7550 4.3925 0.0089 4.6280 5.0290 4.5983 4.4741 4.4573 4.4516 4.6692
89 0.981162 3.7558 4.3873 0.0188 4.6036 5.0009 4.5733 4.4505 4.4345 4.4292 4.6441
90 0.984490 3.7565 4.3819 0.0288 4.5787 4.9727 4.5483 4.4267 4.4113 4.4065 4.6187
91 0.988229 3.7574 4.3762 0.0395 4.5517 4.9419 4.5208 4.4005 4.3860 4.3815 4.5910
92 0.992525 3.7582 4.3692 0.0518 4.5211 4.9077 4.4897 4.3710 4.3571 4.3532 4.5598
93 0.997215 3.7591 4.3616 0.0646 4.4889 4.8718 4.4572 4.3398 4.3266 4.3233 4.5271
94 1.000901 3.7598 4.3556 0.0749 4.4635 4.8435 4.4314 4.3151 4.3025 4.2995 4.5012
95 1.004089 3.7602 4.3502 0.0839 4.4409 4.8187 4.4087 4.2931 4.2811 4.2785 4.4782
96 1.006985 3.7609 4.3452 0.0924 4.4201 4.7955 4.3874 4.2729 4.2612 4.2589 4.4569
97 1.009652 3.7613 4.3402 0.1004 4.4003 4.7739 4.3675 4.2536 4.2425 4.2403 4.4368
98 1.012169 3.7617 4.3354 0.1080 4.3814 4.7531 4.3485 4.2352 4.2245 4.2225 4.4177
99 1.014573 3.7622 4.3307 0.1154 4.3631 4.7331 4.3300 4.2175 4.2070 4.2053 4.3991
100 1.016894 3.7626 4.3262 0.1227 4.3453 4.7136 4.3120 4.2000 4.1901 4.1885 4.3809
101 1.019163 3.7629 4.3217 0.1297 4.3277 4.6944 4.2943 4.1831 4.1733 4.1720 4.3631
102 1.021391 3.7634 4.3173 0.1367 4.3105 4.6756 4.2770 4.1662 4.1569 4.1558 4.3457
103 1.023646 3.7637 4.3128 0.1435 4.2934 4.6570 4.2597 4.1497 4.1406 4.1397 4.3284
104 1.025962 3.7641 4.3082 0.1505 4.2763 4.6384 4.2424 4.1329 4.1241 4.1234 4.3109
105 1.028394 3.7645 4.3036 0.1575 4.2588 4.6196 4.2248 4.1158 4.1073 4.1068 4.2934
106 1.030944 3.7647 4.2988 0.1647 4.2411 4.6005 4.2069 4.0984 4.0902 4.0898 4.2753
107 1.033560 3.7650 4.2938 0.1720 4.2230 4.5812 4.1887 4.0807 4.0727 4.0725 4.2570
108 1.036264 3.7653 4.2886 0.1795 4.2045 4.5616 4.1702 4.0625 4.0548 4.0547 4.2383
109 1.039005 3.7656 4.2834 0.1870 4.1856 4.5415 4.1512 4.0440 4.0366 4.0367 4.2193
110 1.041739 3.7659 4.2781 0.1947 4.1666 4.5210 4.1320 4.0254 4.0182 4.0184 4.2000
111 1.044445 3.7662 4.2727 0.2025 4.1474 4.5005 4.1127 4.0065 3.9995 4.0000 4.1806
112 1.046761 3.7665 4.2678 0.2095 4.1299 4.4819 4.0951 3.9894 3.9827 3.9833 4.1629
113 1.048926 3.7668 4.2629 0.2166 4.1124 4.4631 4.0775 3.9722 3.9657 3.9665 4.1453
114 1.050936 3.7671 4.2578 0.2236 4.0949 4.4444 4.0599 3.9551 3.9488 3.9498 4.1276
115 1.052803 3.7675 4.2527 0.2307 4.0772 4.4255 4.0422 3.9378 3.9319 3.9330 4.1097
116 1.054168 3.7677 4.2482 0.2370 4.0617 4.4088 4.0264 3.9226 3.9169 3.9181 4.0940
117 1.055255 3.7679 4.2444 0.2424 4.0486 4.3948 4.0132 3.9098 3.9043 3.9057 4.0808
118 1.056738 3.7682 4.2400 0.2481 4.0343 4.3795 3.9989 3.8957 3.8904 3.8920 4.0662
119 1.058635 3.7684 4.2349 0.2549 4.0176 4.3621 3.9821 3.8792 3.8741 3.8757 4.0494
120 1.060870 3.7686 4.2288 0.2625 3.9986 4.3424 3.9631 3.8605 3.8555 3.8573 4.0304
121 1.063323 3.7687 4.2222 0.2709 3.9779 4.3211 3.9424 3.8402 3.8352 3.8370 4.0095
122 1.065888 3.7690 4.2152 0.2795 3.9563 4.2986 3.9207 3.8186 3.8138 3.8157 3.9879
123 1.068211 3.7691 4.2084 0.2879 3.9356 4.2774 3.9000 3.7983 3.7935 3.7955 3.9671
124 1.070299 3.7693 4.2020 0.2959 3.9156 4.2565 3.8799 3.7785 3.7738 3.7758 3.9469
125 1.072389 3.7694 4.1952 0.3042 3.8951 4.2354 3.8593 3.7581 3.7536 3.7558 3.9264
126 1.074574 3.7695 4.1879 0.3127 3.8742 4.2140 3.8384 3.7373 3.7328 3.7350 3.9053
127 1.076868 3.7696 4.1807 0.3210 3.8531 4.1926 3.8173 3.7163 3.7119 3.7142 3.8842
128 1.079121 3.7696 4.1735 0.3294 3.8324 4.1716 3.7966 3.6957 3.6913 3.6935 3.8635
129 1.081308 3.7696 4.1665 0.3374 3.8121 4.1511 3.7763 3.6756 3.6711 3.6734 3.8432
130 1.083411 3.7697 4.1595 0.3454 3.7924 4.1312 3.7566 3.6558 3.6514 3.6537 3.8234
131 1.085414 3.7696 4.1527 0.3530 3.7734 4.1122 3.7377 3.6369 3.6324 3.6347 3.8045
132 1.087324 3.7697 4.1460 0.3603 3.7551 4.0938 3.7194 3.6185 3.6140 3.6164 3.7862
133 1.089155 3.7695 4.1389 0.3673 3.7376 4.0771 3.7021 3.6008 3.5961 3.5983 3.7689
134 1.090908 3.7692 4.1320 0.3741 3.7205 4.0609 3.6851 3.5835 3.5787 3.5807 3.7519
135 1.092649 3.7691 4.1254 0.3807 3.7042 4.0453 3.6688 3.5671 3.5620 3.5639 3.7356
136 1.094327 3.7688 4.1191 0.3870 3.6884 4.0302 3.6533 3.5512 3.5458 3.5478 3.7201
137 1.095945 3.7687 4.1130 0.3931 3.6732 4.0156 3.6381 3.5357 3.5302 3.5320 3.7049
138 1.097513 3.7685 4.1067 0.3990 3.6580 4.0012 3.6231 3.5204 3.5146 3.5163 3.6900
139 1.099032 3.7683 4.1005 0.4050 3.6432 3.9872 3.6083 3.5053 3.4994 3.5010 3.6753
140 1.100514 3.7681 4.0945 0.4106 3.6290 3.9737 3.5943 3.4908 3.4846 3.4861 3.6612
141 1.101964 3.7678 4.0884 0.4162 3.6150 3.9608 3.5804 3.4765 3.4701 3.4713 3.6474
142 1.103383 3.7674 4.0823 0.4217 3.6012 3.9481 3.5667 3.4623 3.4556 3.4568 3.6338
143 1.104778 3.7671 4.0761 0.4272 3.5875 3.9356 3.5531 3.4483 3.4413 3.4423 3.6203
144 1.106156 3.7668 4.0699 0.4326 3.5739 3.9234 3.5399 3.4344 3.4271 3.4279 3.6070
145 1.107521 3.7664 4.0636 0.4380 3.5606 3.9116 3.5267 3.4206 3.4128 3.4134 3.5939
146 1.108875 3.7661 4.0571 0.4431 3.5472 3.8998 3.5136 3.4069 3.3987 3.3991 3.5809
147 1.110220 3.7655 4.0507 0.4484 3.5340 3.8884 3.5007 3.3932 3.3847 3.3848 3.5680
148 1.111564 3.7650 4.0438 0.4536 3.5210 3.8773 3.4878 3.3795 3.3705 3.3704 3.5553
149 1.112907 3.7645 4.0370 0.4587 3.5079 3.8663 3.4751 3.3661 3.3564 3.3560 3.5426
150 1.114252 3.7639 4.0299 0.4638 3.4951 3.8558 3.4625 3.3524 3.3421 3.3415 3.5301
151 1.115607 3.7632 4.0226 0.4689 3.4821 3.8455 3.4500 3.3388 3.3280 3.3268 3.5177
152 1.116977 3.7625 4.0152 0.4739 3.4694 3.8355 3.4376 3.3254 3.3137 3.3122 3.5055
153 1.118365 3.7614 4.0070 0.4789 3.4568 3.8264 3.4255 3.3117 3.2993 3.2974 3.4936
154 1.119781 3.7604 3.9985 0.4838 3.4444 3.8180 3.4137 3.2984 3.2849 3.2824 3.4819
155 1.121235 3.7592 3.9894 0.4885 3.4324 3.8106 3.4024 3.2850 3.2706 3.2672 3.4707
156 1.122735 3.7578 3.9798 0.4930 3.4210 3.8046 3.3916 3.2720 3.2561 3.2522 3.4602
157 1.124290 3.7561 3.9692 0.4971 3.4106 3.8009 3.3821 3.2598 3.2422 3.2373 3.4510
158 1.125890 3.7539 3.9579 0.5006 3.4020 3.8005 3.3747 3.2489 3.2294 3.2233 3.4439
159 1.127460 3.7514 3.9464 0.5028 3.3963 3.8049 3.3705 3.2408 3.2188 3.2114 3.4401
160 1.128874 3.7488 3.9357 0.5035 3.3948 3.8143 3.3705 3.2363 3.2118 3.2030 3.4404
161 1.130040 3.7462 3.9265 0.5027 3.3969 3.8275 3.3740 3.2355 3.2084 3.1983 3.4445
162 1.131328 3.7428 3.9159 0.5002 3.4038 3.8494 3.3830 3.2386 3.2080 3.1962 3.4541
163 1.132575 3.7388 3.9047 0.4959 3.4156 3.8788 3.3972 3.2458 3.2113 3.1974 3.4687
164 1.133778 3.7343 3.8930 0.4900 3.4324 3.9163 3.4168 3.2577 3.2185 3.2023 3.4892
165 1.134947 3.7293 3.8805 0.4829 3.4530 3.9600 3.4410 3.2728 3.2285 3.2094 3.5139
166 1.136109 3.7238 3.8663 0.4757 3.4748 4.0074 3.4667 3.2888 3.2389 3.2165 3.5402
167 1.137310 3.7179 3.8488 0.4699 3.4940 4.0547 3.4904 3.3018 3.2455 3.2196 3.5643
168 1.138586 3.7118 3.8264 0.4687 3.5036 4.0944 3.5049 3.3050 3.2420 3.2124 3.5793
169 1.139863 3.7064 3.7994 0.4745 3.4958 4.1141 3.5018 3.2915 3.2224 3.1891 3.5763
170 1.140992 3.7024 3.7721 0.4863 3.4720 4.1111 3.4819 3.2635 3.1898 3.1537 3.5563
171 1.141966 3.6996 3.7466 0.5009 3.4397 4.0938 3.4525 3.2285 3.1513 3.1132 3.5267
172 1.142830 3.6976 3.7227 0.5168 3.4032 4.0685 3.4180 3.1898 3.1100 3.0705 3.4922
173 1.143621 3.6959 3.6998 0.5335 3.3640 4.0380 3.3805 3.1491 3.0673 3.0266 3.4546
174 1.144362 3.6947 3.6778 0.5507 3.3232 4.0041 3.3410 3.1069 3.0236 2.9821 3.4152
175 1.145063 3.6936 3.6564 0.5682 3.2813 3.9677 3.3003 3.0640 2.9793 2.9370 3.3742
176 1.145730 3.6928 3.6352 0.5859 3.2384 3.9296 3.2586 3.0204 2.9344 2.8917 3.3323
177 1.146371 3.6920 3.6146 0.6039 3.1949 3.8901 3.2160 2.9761 2.8891 2.8458 3.2897
178 1.146989 3.6913 3.5941 0.6220 3.1509 3.8494 3.1728 2.9314 2.8436 2.7999 3.2462
179 1.147584 3.6907 3.5737 0.6402 3.1064 3.8079 3.1290 2.8864 2.7977 2.7537 3.2023
180 1.148162 3.6902 3.5534 0.6586 3.0615 3.7658 3.0848 2.8410 2.7516 2.7073 3.1580
181 1.148722 3.6896 3.5330 0.6771 3.0164 3.7234 3.0405 2.7953 2.7052 2.6607 3.1134
182 1.149184 3.6892 3.5159 0.6925 2.9784 3.6877 3.0030 2.7570 2.6662 2.6215 3.0760
183 1.149643 3.6888 3.4984 0.7085 2.9392 3.6506 2.9644 2.7173 2.6260 2.5810 3.0371
184 1.150099 3.6883 3.4802 0.7251 2.8988 3.6126 2.9245 2.6766 2.5845 2.5392 2.9972
185 1.150555 3.6879 3.4620 0.7419 2.8576 3.5736 2.8840 2.6350 2.5424 2.4969 2.9566
186 1.151009 3.6875 3.4432 0.7590 2.8154 3.5337 2.8424 2.5924 2.4992 2.4535 2.9148
187 1.151461 3.6870 3.4239 0.7767 2.7721 3.4925 2.7995 2.5487 2.4547 2.4089 2.8718
188 1.151909 3.6865 3.4038 0.7949 2.7275 3.4505 2.7556 2.5036 2.4090 2.3629 2.8278
189 1.152356 3.6860 3.3836 0.8134 2.6824 3.4080 2.7112 2.4580 2.3627 2.3163 2.7832
190 1.152800 3.6855 3.3628 0.8323 2.6361 3.3644 2.6657 2.4112 2.3152 2.2686 2.7375
191 1.153244 3.6849 3.3415 0.8516 2.5891 3.3203 2.6194 2.3638 2.2670 2.2201 2.6910
192 1.153677 3.6843 3.3189 0.8720 2.5393 3.2739 2.5704 2.3135 2.2158 2.1685 2.6420
193 1.154106 3.6838 3.2959 0.8927 2.4886 3.2263 2.5205 2.2621 2.1637 2.1161 2.5919
194 1.154531 3.6831 3.2720 0.9141 2.4363 3.1774 2.4690 2.2092 2.1098 2.0620 2.5402
195 1.154946 3.6824 3.2470 0.9364 2.3818 3.1267 2.4153 2.1540 2.0537 2.0054 2.4864
196 1.155356 3.6817 3.2215 0.9593 2.3262 3.0751 2.3607 2.0977 1.9965 1.9478 2.4317
197 1.155756 3.6809 3.1947 0.9831 2.2685 3.0219 2.3040 2.0394 1.9370 1.8877 2.3747
198 1.156152 3.6800 3.1673 1.0072 2.2098 2.9678 2.2463 1.9798 1.8763 1.8265 2.3169
199 1.156535 3.6791 3.1388 1.0323 2.1490 2.9119 2.1867 1.9181 1.8135 1.7631 2.2571
200 1.156913 3.6782 3.1096 1.0578 2.0871 2.8555 2.1261 1.8554 1.7494 1.6986 2.1963
201 1.157278 3.6772 3.0794 1.0842 2.0234 2.7975 2.0637 1.7907 1.6833 1.6319 2.1336
202 1.157634 3.6761 3.0483 1.1113 1.9581 2.7383 1.9999 1.7245 1.6156 1.5635 2.0695
203 1.157981 3.6750 3.0164 1.1388 1.8916 2.6781 1.9349 1.6568 1.5465 1.4937 2.0042
204 1.158313 3.6739 2.9836 1.1672 1.8234 2.6169 1.8683 1.5876 1.4756 1.4219 1.9373
205 1.158637 3.6726 2.9499 1.1959 1.7543 2.5551 1.8009 1.5172 1.4035 1.3489 1.8696
206 1.158949 3.6713 2.9152 1.2253 1.6837 2.4925 1.7324 1.4453 1.3299 1.2745 1.8006
207 1.159247 3.6700 2.8799 1.2553 1.6119 2.4289 1.6625 1.3723 1.2549 1.1984 1.7304
208 1.159535 3.6685 2.8438 1.2859 1.5392 2.3646 1.5918 1.2981 1.1787 1.1212 1.6592
209 1.159810 3.6670 2.8070 1.3168 1.4652 2.2996 1.5200 1.2228 1.1012 1.0427 1.5869
210 1.160075 3.6655 2.7697 1.3482 1.3905 2.2342 1.4475 1.1466 1.0228 0.9632 1.5140
211 1.160335 3.6640 2.7319 1.3798 1.3152 2.1685 1.3743 1.0698 0.9441 0.8832 1.4404
212 1.160599 3.6625 2.6975 1.4087 1.2463 2.1083 1.3068 0.9995 0.8722 0.8104 1.3729
213 1.160848 3.6611 2.6648 1.4359 1.1813 2.0517 1.2428 0.9333 0.8043 0.7416 1.3091
214 1.161037 3.6593 2.6235 1.4700 1.1009 1.9831 1.1652 0.8511 0.7197 0.6554 1.2310
215 1.161251 3.6563 2.5592 1.5224 0.9798 1.8821 1.0513 0.7271 0.5900 0.5229 1.1143
216 1.161543 3.6536 2.5000 1.5710 0.8673 1.7883 0.9457 0.6121 0.4698 0.4002 1.0062
217 1.161574 3.6536 2.4990 1.5719 0.8651 1.7863 0.9435 0.6098 0.4675 0.3979 1.0040
218 1.161613 3.6537 2.4994 1.5717 0.8654 1.7861 0.9435 0.6102 0.4681 0.3984 1.0042
219 1.161652 3.6538 2.5013 1.5704 0.8683 1.7881 0.9461 0.6132 0.4713 0.4018 1.0068
220 1.161691 3.6540 2.5045 1.5680 0.8736 1.7920 0.9509 0.6187 0.4771 0.4078 1.0119
221 1.161725 3.6543 2.5088 1.5646 0.8813 1.7981 0.9580 0.6266 0.4855 0.4165 1.0192
222 1.161751 3.6545 2.5140 1.5604 0.8908 1.8058 0.9669 0.6364 0.4958 0.4271 1.0282
223 1.161769 3.6548 2.5195 1.5560 0.9008 1.8139 0.9763 0.6468 0.5067 0.4381 1.0379
224 1.161784 3.6550 2.5252 1.5515 0.9110 1.8222 0.9858 0.6573 0.5177 0.4494 1.0478
225 1.161797 3.6554 2.5309 1.5470 0.9215 1.8306 0.9957 0.6679 0.5289 0.4610 1.0577
226 1.161807 3.6557 2.5367 1.5424 0.9321 1.8392 1.0056 0.6789 0.5404 0.4726 1.0679
227 1.162139 3.6600 2.6185 1.4778 1.0797 1.9574 1.1439 0.8306 0.6999 0.6361 1.2093
228 1.162552 3.6562 2.5345 1.5469 0.9176 1.8199 0.9878 0.6647 0.5285 0.4618 1.0517
229 1.162912 3.6524 2.4559 1.6108 0.7690 1.6964 0.8458 0.5126 0.3706 0.3006 0.9079
230 1.163225 3.6488 2.3803 1.6717 0.6283 1.5815 0.7128 0.3683 0.2200 0.1466 0.7725
231 1.163495 3.6452 2.3099 1.7280 0.4996 1.4784 0.5924 0.2363 0.0815 0.0046 0.6493
232 1.163732 3.6416 2.2384 1.7849 0.3704 1.3762 0.4725 0.1037 -0.0582 -0.1391 0.5261
233 1.163945 3.6377 2.1656 1.8425 0.2403 1.2744 0.3531 -0.0298 -0.1997 -0.2846 0.4024
234 1.164130 3.6341 2.0961 1.8973 0.1173 1.1795 0.2420 -0.1561 -0.3340 -0.4229 0.2863
235 1.164296 3.6303 2.0270 1.9517 -0.0038 1.0869 0.1333 -0.2807 -0.4670 -0.5600 0.1723
236 1.164441 3.6266 1.9592 2.0047 -0.1207 0.9994 0.0299 -0.4009 -0.5963 -0.6938 0.0629
237 1.164569 3.6229 1.8931 2.0562 -0.2330 0.9168 -0.0696 -0.5164 -0.7212 -0.8232 -0.0418
