#AGE= 1.750 EEPS=274
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
4 0.110479 3.5081 5.2788 -2.8120 12.2409 14.4913 13.2528 11.9315 11.3507 11.0947 12.8015
5 0.126253 3.5081 5.2166 -2.6916 11.9390 14.1814 12.9469 11.6301 11.0503 10.7935 12.4984
6 0.151936 3.5092 5.1422 -2.5325 11.5358 13.7550 12.5270 11.2268 10.6518 10.3960 12.0894
7 0.202874 3.5168 5.0683 -2.3025 10.9323 13.0508 11.8440 10.6209 10.0706 9.8252 11.4564
8 0.256055 3.5246 5.0186 -2.1209 10.4578 12.4864 11.3028 10.1454 9.6184 9.3787 10.9559
9 0.298159 3.5305 4.9868 -1.9990 10.1356 12.1008 10.9317 9.8221 9.3137 9.0801 10.6138
10 0.311135 3.5323 4.9741 -1.9605 10.0340 11.9801 10.8151 9.7201 9.2177 8.9861 10.5061
11 0.316698 3.5331 4.9669 -1.9425 9.9871 11.9254 10.7622 9.6731 9.1731 8.9423 10.4567
12 0.321257 3.5336 4.9588 -1.9263 9.9455 11.8786 10.7169 9.6316 9.1329 8.9024 10.4135
13 0.325426 3.5341 4.9515 -1.9112 9.9068 11.8345 10.6746 9.5928 9.0956 8.8654 10.3734
14 0.330084 3.5346 4.9437 -1.8952 9.8657 11.7881 10.6302 9.5518 9.0558 8.8260 10.3310
15 0.335921 3.5354 4.9364 -1.8774 9.8197 11.7343 10.5789 9.5056 9.0117 8.7824 10.2827
16 0.349120 3.5372 4.9261 -1.8435 9.7308 11.6272 10.4776 9.4161 8.9270 8.6995 10.1885
17 0.374846 3.5414 4.9087 -1.7803 9.5627 11.4200 10.2830 9.2456 8.7687 8.5464 10.0082
18 0.396431 3.5455 4.8882 -1.7202 9.4026 11.2259 10.0985 9.0823 8.6187 8.4029 9.8358
19 0.455369 3.5583 4.8329 -1.5500 8.9421 10.6595 9.5499 8.6196 8.1996 8.0002 9.3351
20 0.467380 3.5616 4.8203 -1.5136 8.8430 10.5352 9.4285 8.5186 8.1103 7.9160 9.2255
21 0.481727 3.5656 4.8053 -1.4691 8.7216 10.3822 9.2792 8.3964 8.0024 7.8135 9.0912
22 0.492704 3.5690 4.7928 -1.4331 8.6213 10.2544 9.1523 8.2969 7.9157 7.7311 8.9794
23 0.499389 3.5710 4.7840 -1.4096 8.5548 10.1690 9.0658 8.2326 7.8600 7.6779 8.9050
24 0.502926 3.5719 4.7780 -1.3966 8.5199 10.1293 9.0266 8.2001 7.8304 7.6477 8.8684
25 0.505337 3.5721 4.7731 -1.3876 8.5047 10.1205 9.0224 8.1860 7.8130 7.6271 8.8573
26 0.509029 3.5727 4.7672 -1.3750 8.4812 10.0984 9.0083 8.1609 7.7841 7.5963 8.8371
27 0.515191 3.5745 4.7595 -1.3540 8.4313 10.0364 8.9487 8.1081 7.7345 7.5479 8.7832
28 0.524757 3.5779 4.7498 -1.3223 8.3456 9.9231 8.8336 8.0204 7.6587 7.4766 8.6853
29 0.539105 3.5835 4.7379 -1.2762 8.2135 9.7450 8.6540 7.8880 7.5480 7.3737 8.5329
30 0.558744 3.5919 4.7237 -1.2140 8.0301 9.4942 8.4047 7.7069 7.3986 7.2356 8.3211
31 0.585595 3.6038 4.7065 -1.1296 7.7776 9.1458 8.0634 7.4611 7.1987 7.0510 8.0292
32 0.706334 3.6575 4.6551 -0.7922 6.7705 7.7318 6.8616 6.5133 6.3745 6.2883 6.9155
33 0.725645 3.6666 4.6452 -0.7330 6.6043 7.4989 6.6717 6.3562 6.2347 6.1561 6.7347
34 0.745986 3.6770 4.6368 -0.6702 6.4255 7.2423 6.4699 6.1891 6.0850 6.0155 6.5404
35 0.770187 3.6894 4.6279 -0.5971 6.2156 6.9407 6.2400 5.9940 5.9067 5.8489 6.3145
