raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr
114.2445148,21.5853176,0.007,0.002,16.002,0.002,15.479,0.001,15.323,0.004,15.286,0.004
114.244907,21.5733451,0.005,0.002,17.931,0.004,17.777,0.004,17.761,0.004,17.813,0.012
114.2451844,21.5868464,0.006,0.004,17.36,0.003,16.979,0.003,16.85,0.005,16.831,0.006
114.2462297,21.5845025,0.004,0.011,14.473,0.002,14.076,0.002,13.92,0.006,13.888,0.003
114.2462932,21.5609042,0.023,0.026,19.69,0.028,19.633,0.049,19.165,0.117,19.279,0.08
114.2466768,21.6284326,0.063,0.066,21.963,0.419,21.349,0.05,21.262,0.044,20.389,0
114.2475522,21.6327053,0.002,0.004,18.796,0.005,18.165,0.003,17.941,0.005,17.879,0.005
114.247681,21.516878,0.012,0.012,22.07,0.209,20.987,0.021,20.214,0.008,19.924,0.067
114.2483611,21.5100989,0.04,0.031,22.117,0.084,21.797,0.042,21.421,0.042,21.54,0.193
114.2496378,21.5810372,0.003,0.005,19.255,0.009,18.005,0.002,16.915,0.003,16.432,0.006
114.2498128,21.629717,0.005,0.004,14.725,0.001,14.244,0.004,14.054,0.004,13.998,0.003
114.2499184,21.5791338,0.003,0.001,18.704,0.003,18.067,0.004,17.821,0.004,17.711,0.016
114.2500089,21.573981,0.011,0.006,13.758,0.003,13.674,0.002,13.716,0.001,13.716,0.002
114.2501638,21.5023788,0.06,0.04,21.993,0.233,22.344,0.123,21.251,0.132,20.55,0.164
114.2504024,21.5069916,0.008,0.014,19.469,0.01,18.68,0.012,18.342,0.012,18.124,0.01
114.2507594,21.6483112,0.004,0.007,19.579,0.01,18.941,0.006,18.652,0.008,18.553,0.01
114.2514769,21.6510753,0.046,0.031,21.755,0.136,21.097,0.048,20.773,0.09,20.513,0.159
114.2518731,21.5870365,0.014,0.015,21.548,0.053,20.716,0.021,20.462,0.03,20.292,0.016
114.2520758,21.5081664,0.002,0.003,14.881,0.002,14.302,0.001,14.095,0.009,13.986,0.001
114.2524952,21.5114165,0.025,0.021,21.723,0.049,21.349,0.036,21.214,0.045,20.911,0.089
114.252738,21.5659973,0.009,0.015,21.73,0.045,20.722,0.017,20.039,0.021,19.633,0.04
