#AGE= 4.000 EEPS=270
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
9 0.140170 3.4805 5.1132 -2.6533 12.0521 14.6209 13.3847 11.8223 11.0906 10.7014 12.7736
10 0.172703 3.4870 5.0594 -2.4829 11.6223 14.1219 12.9091 11.3882 10.6709 10.2861 12.3263
11 0.207363 3.4939 5.0180 -2.3345 11.2322 13.6577 12.4666 10.9920 10.2919 9.9185 11.9147
12 0.236353 3.4984 4.9870 -2.2286 10.9428 13.3146 12.1353 10.6963 10.0111 9.6501 11.6070
13 0.259730 3.5017 4.9642 -2.1518 10.7297 13.0613 11.8899 10.4782 9.8045 9.4536 11.3795
14 0.281334 3.5045 4.9442 -2.0859 10.5483 12.8467 11.6829 10.2929 9.6287 9.2854 11.1866
15 0.297010 3.5065 4.9315 -2.0417 10.4284 12.7053 11.5481 10.1705 9.5123 9.1732 11.0597
16 0.307107 3.5077 4.9231 -2.0139 10.3534 12.6174 11.4642 10.0940 9.4394 9.1028 10.9805
17 0.314012 3.5084 4.9163 -1.9943 10.3011 12.5571 11.4067 10.0409 9.3885 9.0532 10.9258
18 0.319398 3.5090 4.9101 -1.9783 10.2591 12.5091 11.3610 9.9984 9.3474 9.0130 10.8820
19 0.323103 3.5094 4.9061 -1.9677 10.2312 12.4770 11.3305 9.9700 9.3201 8.9864 10.8528
20 0.324855 3.5091 4.9067 -1.9670 10.2300 12.4783 11.3307 9.9689 9.3186 8.9845 10.8522
21 0.326855 3.5100 4.9101 -1.9643 10.2189 12.4583 11.3133 9.9567 9.3091 8.9770 10.8381
22 0.330066 3.5103 4.9055 -1.9544 10.1935 12.4304 11.2866 9.9312 9.2841 8.9522 10.8121
23 0.333993 3.5107 4.9003 -1.9424 10.1628 12.3959 11.2540 9.9002 9.2539 8.9223 10.7804
24 0.340595 3.5114 4.8935 -1.9242 10.1154 12.3418 11.2029 9.8524 9.2076 8.8766 10.7314
