#AGE= 3.000 EEPS=272
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
7 0.118804 3.4988 5.2171 -2.7563 12.1510 14.5337 13.3094 11.8562 11.2284 10.9379 12.7685
8 0.143566 3.4997 5.1441 -2.5968 11.7454 14.1063 12.8867 11.4486 10.8267 10.5382 12.3562
9 0.189761 3.5057 5.0689 -2.3766 11.1713 13.4465 12.2445 10.8724 10.2673 9.9889 11.7589
10 0.233423 3.5119 5.0217 -2.2150 10.7571 12.9577 11.7786 10.4590 9.8668 9.5916 11.3272
11 0.272938 3.5170 4.9875 -2.0924 10.4420 12.5835 11.4237 10.1442 9.5632 9.2904 10.9977
12 0.297647 3.5200 4.9661 -2.0211 10.2582 12.3654 11.2172 9.9605 9.3862 9.1151 10.8055
13 0.308090 3.5213 4.9540 -1.9891 10.1750 12.2684 11.1245 9.8769 9.3059 9.0358 10.7184
14 0.314910 3.5219 4.9439 -1.9665 10.1165 12.2016 11.0606 9.8182 9.2490 8.9796 10.6578
15 0.319676 3.5225 4.9363 -1.9503 10.0747 12.1537 11.0149 9.7763 9.2082 8.9393 10.6143
16 0.323722 3.5230 4.9301 -1.9367 10.0398 12.1140 10.9770 9.7413 9.1742 8.9057 10.5782
17 0.328375 3.5235 4.9242 -1.9226 10.0033 12.0719 10.9370 9.7047 9.1388 8.8708 10.5402
18 0.334806 3.5242 4.9174 -1.9046 9.9568 12.0178 10.8856 9.6581 9.0939 8.8264 10.4918
19 0.339057 3.5247 4.9114 -1.8913 9.9227 11.9786 10.8484 9.6239 9.0608 8.7936 10.4565
20 0.339714 3.5275 4.9228 -1.8904 9.9110 11.9373 10.8149 9.6102 9.0556 8.7928 10.4352
21 0.339322 3.5260 4.9206 -1.8947 9.9266 11.9687 10.8415 9.6270 9.0682 8.8030 10.4558
22 0.307137 3.5196 4.9483 -1.9839 10.1631 12.2610 11.1074 9.8672 9.2946 9.0240 10.7066
23 0.302317 3.5174 4.9531 -2.0013 10.2107 12.3267 11.1637 9.9166 9.3395 9.0668 10.7588
24 0.300230 3.5174 4.9620 -2.0112 10.2331 12.3445 11.1802 9.9391 9.3633 9.0912 10.7793
25 0.311760 3.5205 4.9648 -1.9873 10.1623 12.2438 11.0906 9.8662 9.2987 9.0304 10.6998
26 0.510903 3.5591 4.7735 -1.4377 8.7090 10.4788 9.4351 8.3841 7.9252 7.7076 9.1442
27 0.510876 3.5587 4.7716 -1.4364 8.7037 10.4710 9.4235 8.3807 7.9225 7.7042 9.1376
28 0.509647 3.5577 4.7702 -1.4394 8.7165 10.4955 9.4479 8.3957 7.9323 7.7104 9.1558
29 0.510737 3.5570 4.7665 -1.4362 8.7234 10.5210 9.4803 8.4031 7.9303 7.7022 9.1728
30 0.516351 3.5578 4.7591 -1.4191 8.6965 10.4995 9.4711 8.3728 7.8925 7.6609 9.1521
31 0.526875 3.5609 4.7481 -1.3857 8.6189 10.4009 9.3814 8.2892 7.8119 7.5828 9.0690
32 0.553925 3.5719 4.7290 -1.3023 8.3677 10.0474 9.0192 8.0340 7.6028 7.3955 8.7716
33 0.574357 3.5801 4.7136 -1.2384 8.1811 9.7907 8.7539 7.8455 7.4482 7.2539 8.5523
34 0.601173 3.5918 4.6964 -1.1552 7.9276 9.4375 8.3896 7.5946 7.2482 7.0723 8.2522
35 0.633732 3.6064 4.6778 -1.0561 7.6194 9.0071 7.9522 7.2957 7.0141 6.8595 7.8883
36 0.811339 3.6880 4.6041 -0.5522 6.0905 6.8468 6.1112 5.8605 5.7744 5.7177 6.1911
37 0.824435 3.6930 4.5978 -0.5187 5.9974 6.7202 6.0124 5.7733 5.6930 5.6412 6.0923
38 0.837294 3.6981 4.5915 -0.4855 5.9057 6.5962 5.9153 5.6876 5.6129 5.5659 5.9953
39 0.851178 3.7036 4.5849 -0.4492 5.8063 6.4624 5.8105 5.5948 5.5262 5.4843 5.8902
40 0.863795 3.7088 4.5786 -0.4159 5.7155 6.3415 5.7151 5.5099 5.4472 5.4097 5.7944
41 0.876226 3.7139 4.5721 -0.3828 5.6271 6.2249 5.6225 5.4271 5.3699 5.3367 5.7012
42 0.889927 3.7192 4.5645 -0.3470 5.5319 6.1015 5.5231 5.3379 5.2863 5.2573 5.6012
43 0.903389 3.7241 4.5564 -0.3127 5.4418 5.9863 5.4296 5.2532 5.2068 5.1814 5.5068
44 0.917047 3.7290 4.5479 -0.2782 5.3521 5.8727 5.3366 5.1687 5.1272 5.1051 5.4130
45 0.930753 3.7337 4.5389 -0.2439 5.2634 5.7617 5.2450 5.0853 5.0483 5.0294 5.3207
46 0.944157 3.7382 4.5294 -0.2106 5.1781 5.6555 5.1569 5.0049 4.9723 4.9563 5.2318
47 0.957183 3.7424 4.5201 -0.1783 5.0964 5.5545 5.0728 4.9277 4.8993 4.8860 5.1468
48 0.969911 3.7463 4.5103 -0.1470 5.0174 5.4577 4.9915 4.8531 4.8284 4.8177 5.0649
49 0.982595 3.7501 4.5002 -0.1160 4.9394 5.3627 4.9116 4.7795 4.7585 4.7499 4.9840
50 0.996335 3.7540 4.4886 -0.0826 4.8555 5.2611 4.8254 4.7000 4.6828 4.6766 4.8971
51 1.008555 3.7574 4.4778 -0.0530 4.7816 5.1727 4.7500 4.6302 4.6160 4.6118 4.8208
52 1.014355 3.7591 4.4724 -0.0388 4.7466 5.1310 4.7142 4.5969 4.5842 4.5808 4.7846
53 1.020038 3.7605 4.4670 -0.0250 4.7124 5.0905 4.6794 4.5643 4.5531 4.5504 4.7494
54 1.025928 3.7621 4.4615 -0.0107 4.6772 5.0489 4.6435 4.5309 4.5211 4.5192 4.7131
55 1.032374 3.7637 4.4553 0.0047 4.6392 5.0043 4.6047 4.4948 4.4864 4.4853 4.6741
56 1.039458 3.7655 4.4486 0.0215 4.5982 4.9563 4.5630 4.4557 4.4489 4.4488 4.6318
57 1.047882 3.7675 4.4407 0.0410 4.5505 4.9007 4.5145 4.4105 4.4053 4.4064 4.5827
58 1.067957 3.7715 4.4198 0.0860 4.4395 4.7729 4.4018 4.3041 4.3026 4.3058 4.4690
59 1.082581 3.7746 4.4036 0.1206 4.3549 4.6759 4.3160 4.2233 4.2243 4.2292 4.3824
60 1.096030 3.7773 4.3889 0.1516 4.2790 4.5892 4.2391 4.1505 4.1539 4.1603 4.3046
61 1.105971 3.7793 4.3782 0.1740 4.2242 4.5267 4.1835 4.0981 4.1031 4.1105 4.2486
62 1.113446 3.7807 4.3698 0.1908 4.1832 4.4802 4.1420 4.0588 4.0649 4.0730 4.2067
63 1.119111 3.7817 4.3631 0.2038 4.1511 4.4442 4.1097 4.0281 4.0350 4.0438 4.1740
64 1.123248 3.7825 4.3575 0.2141 4.1262 4.4163 4.0845 4.0040 4.0116 4.0208 4.1487
65 1.125573 3.7830 4.3535 0.2210 4.1094 4.3978 4.0676 3.9879 3.9959 4.0053 4.1315
66 1.108179 3.7814 4.3714 0.1902 4.1860 4.4821 4.1447 4.0623 4.0688 4.0775 4.2092
67 1.112677 3.7825 4.3662 0.2019 4.1575 4.4493 4.1159 4.0352 4.0426 4.0519 4.1801
68 1.214510 3.7984 4.2600 0.4093 3.6517 3.8829 3.6047 3.5495 3.5692 3.5866 3.6644
69 1.225704 3.7994 4.2456 0.4315 3.5970 3.8246 3.5497 3.4962 3.5164 3.5343 3.6090
70 1.241006 3.8003 4.2259 0.4607 3.5251 3.7489 3.4775 3.4257 3.4465 3.4648 3.5365
71 1.257075 3.8011 4.2035 0.4914 3.4488 3.6699 3.4010 3.3505 3.3718 3.3904 3.4598
72 1.272084 3.8015 4.1824 0.5193 3.3794 3.5988 3.3317 3.2818 3.3032 3.3221 3.3904
73 1.284515 3.8018 4.1654 0.5415 3.3243 3.5425 3.2765 3.2270 3.2487 3.2675 3.3350
74 1.293986 3.8018 4.1520 0.5579 3.2830 3.5011 3.2351 3.1858 3.2073 3.2262 3.2936
75 1.301681 3.8016 4.1406 0.5714 3.2493 3.4679 3.2016 3.1519 3.1734 3.1920 3.2601
76 1.308729 3.8013 4.1296 0.5834 3.2189 3.4385 3.1713 3.1213 3.1424 3.1610 3.2299
77 1.315147 3.8009 4.1193 0.5943 3.1913 3.4121 3.1438 3.0932 3.1140 3.1323 3.2026
78 1.321408 3.8005 4.1093 0.6048 3.1647 3.3867 3.1174 3.0661 3.0866 3.1048 3.1761
79 1.327736 3.8000 4.0993 0.6152 3.1384 3.3619 3.0912 3.0394 3.0594 3.0773 3.1501
80 1.334752 3.7997 4.0891 0.6263 3.1102 3.3349 3.0632 3.0108 3.0306 3.0483 3.1222
81 1.342325 3.7993 4.0784 0.6377 3.0812 3.3072 3.0343 2.9813 3.0007 3.0182 3.0934
82 1.346839 3.7990 4.0724 0.6443 3.0644 3.2910 3.0176 2.9643 2.9835 3.0009 3.0767
83 1.351316 3.7989 4.0667 0.6509 3.0481 3.2753 3.0014 2.9478 2.9669 2.9842 3.0605
84 1.355735 3.7987 4.0610 0.6570 3.0324 3.2602 2.9856 2.9317 2.9506 2.9678 3.0449
85 1.360162 3.7985 4.0555 0.6632 3.0169 3.2454 2.9704 2.9161 2.9349 2.9518 3.0295
86 1.364539 3.7983 4.0501 0.6691 3.0017 3.2309 2.9553 2.9008 2.9194 2.9363 3.0146
87 1.368846 3.7981 4.0446 0.6750 2.9870 3.2169 2.9405 2.8857 2.9040 2.9208 2.9999
88 1.373094 3.7977 4.0390 0.6808 2.9723 3.2033 2.9260 2.8707 2.8888 2.9053 2.9854
89 1.377281 3.7974 4.0331 0.6864 2.9578 3.1901 2.9116 2.8558 2.8735 2.8899 2.9712
90 1.381439 3.7969 4.0270 0.6920 2.9433 3.1771 2.8973 2.8407 2.8581 2.8742 2.9569
91 1.385640 3.7963 4.0205 0.6979 2.9284 3.1640 2.8827 2.8253 2.8422 2.8581 2.9423
92 1.389913 3.7959 4.0135 0.7038 2.9132 3.1508 2.8675 2.8093 2.8258 2.8413 2.9274
93 1.394330 3.7951 4.0062 0.7099 2.8974 3.1374 2.8520 2.7928 2.8088 2.8239 2.9122
94 1.398839 3.7944 3.9986 0.7160 2.8814 3.1239 2.8363 2.7760 2.7913 2.8062 2.8965
95 1.403393 3.7936 3.9905 0.7223 2.8653 3.1104 2.8205 2.7588 2.7734 2.7878 2.8808
96 1.407957 3.7927 3.9822 0.7286 2.8489 3.0972 2.8046 2.7415 2.7555 2.7694 2.8651
97 1.412534 3.7919 3.9738 0.7348 2.8326 3.0840 2.7885 2.7242 2.7374 2.7508 2.8493
98 1.417114 3.7910 3.9653 0.7412 2.8161 3.0705 2.7724 2.7067 2.7191 2.7321 2.8333
99 1.421675 3.7901 3.9569 0.7475 2.7994 3.0569 2.7561 2.6892 2.7008 2.7134 2.8172
100 1.427676 3.7894 3.9466 0.7570 2.7753 3.0352 2.7322 2.6642 2.6754 2.6875 2.7935
101 1.431736 3.7887 3.9386 0.7632 2.7594 3.0219 2.7166 2.6474 2.6579 2.6696 2.7780
102 1.435368 3.7881 3.9313 0.7691 2.7442 3.0091 2.7017 2.6315 2.6414 2.6528 2.7632
103 1.438323 3.7876 3.9251 0.7745 2.7305 2.9968 2.6881 2.6173 2.6268 2.6380 2.7498
104 1.440540 3.7874 3.9203 0.7792 2.7185 2.9853 2.6762 2.6051 2.6145 2.6255 2.7379
105 1.442163 3.7874 3.9165 0.7834 2.7081 2.9749 2.6659 2.5947 2.6041 2.6151 2.7275
106 1.443448 3.7876 3.9136 0.7872 2.6986 2.9649 2.6563 2.5855 2.5949 2.6061 2.7179
107 1.444500 3.7876 3.9108 0.7907 2.6899 2.9559 2.6477 2.5769 2.5864 2.5976 2.7093
108 1.445405 3.7879 3.9086 0.7941 2.6817 2.9467 2.6393 2.5689 2.5786 2.5898 2.7008
109 1.446181 3.7881 3.9066 0.7972 2.6738 2.9379 2.6313 2.5614 2.5712 2.5826 2.6928
110 1.446838 3.7883 3.9046 0.8003 2.6663 2.9295 2.6238 2.5542 2.5642 2.5756 2.6852
111 1.447406 3.7886 3.9029 0.8033 2.6591 2.9212 2.6164 2.5473 2.5575 2.5691 2.6777
112 1.447715 3.7888 3.9019 0.8051 2.6547 2.9161 2.6120 2.5432 2.5535 2.5652 2.6733
113 1.448019 3.7891 3.9009 0.8071 2.6499 2.9104 2.6070 2.5386 2.5491 2.5610 2.6683
114 1.448320 3.7893 3.8999 0.8092 2.6452 2.9049 2.6023 2.5342 2.5450 2.5568 2.6635
115 1.448620 3.7895 3.8989 0.8113 2.6397 2.8985 2.5967 2.5292 2.5401 2.5521 2.6578
116 1.448919 3.7898 3.8979 0.8135 2.6344 2.8922 2.5914 2.5243 2.5353 2.5475 2.6525
117 1.449222 3.7900 3.8968 0.8159 2.6288 2.8854 2.5855 2.5190 2.5302 2.5426 2.6465
118 1.449523 3.7904 3.8956 0.8185 2.6225 2.8777 2.5792 2.5131 2.5247 2.5372 2.6400
119 1.449822 3.7907 3.8944 0.8212 2.6159 2.8698 2.5724 2.5071 2.5188 2.5315 2.6333
120 1.450134 3.7912 3.8931 0.8243 2.6084 2.8607 2.5648 2.5000 2.5122 2.5250 2.6255
121 1.450449 3.7917 3.8915 0.8278 2.6000 2.8505 2.5562 2.4921 2.5047 2.5178 2.6168
122 1.450759 3.7922 3.8898 0.8318 2.5905 2.8391 2.5465 2.4834 2.4964 2.5097 2.6069
123 1.451067 3.7927 3.8882 0.8359 2.5808 2.8270 2.5366 2.4744 2.4879 2.5014 2.5967
124 1.451369 3.7935 3.8865 0.8403 2.5700 2.8139 2.5256 2.4646 2.4785 2.4925 2.5857
125 1.451658 3.7941 3.8848 0.8450 2.5589 2.8002 2.5143 2.4545 2.4689 2.4832 2.5742
126 1.451935 3.7949 3.8829 0.8499 2.5470 2.7854 2.5021 2.4436 2.4585 2.4732 2.5618
127 1.452195 3.7957 3.8811 0.8551 2.5346 2.7700 2.4894 2.4322 2.4477 2.4628 2.5489
128 1.452431 3.7966 3.8790 0.8606 2.5215 2.7537 2.4760 2.4201 2.4363 2.4518 2.5352
129 1.452639 3.7975 3.8768 0.8664 2.5077 2.7369 2.4619 2.4075 2.4244 2.4403 2.5209
130 1.452825 3.7984 3.8746 0.8723 2.4937 2.7196 2.4475 2.3946 2.4121 2.4284 2.5064
131 1.452990 3.7992 3.8722 0.8783 2.4795 2.7023 2.4330 2.3814 2.3996 2.4164 2.4917
132 1.453137 3.8001 3.8696 0.8844 2.4650 2.6847 2.4182 2.3681 2.3868 2.4040 2.4766
133 1.453270 3.8010 3.8669 0.8905 2.4503 2.6671 2.4033 2.3545 2.3738 2.3915 2.4615
134 1.453395 3.8018 3.8642 0.8966 2.4355 2.6494 2.3883 2.3409 2.3609 2.3789 2.4463
135 1.453510 3.8027 3.8614 0.9028 2.4209 2.6317 2.3733 2.3272 2.3478 2.3663 2.4311
136 1.453613 3.8034 3.8584 0.9089 2.4061 2.6142 2.3583 2.3134 2.3347 2.3535 2.4158
137 1.453707 3.8042 3.8554 0.9152 2.3913 2.5967 2.3431 2.2997 2.3213 2.3406 2.4005
