#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
10 0.121815 3.4953 5.2016 -2.7432 12.1489 14.5732 13.3494 11.8635 11.2177 10.9071 12.7865
11 0.146640 3.4961 5.1303 -2.5880 11.7620 14.1700 12.9530 11.4771 10.8335 10.5216 12.3972
12 0.182444 3.5009 5.0685 -2.4123 11.3085 13.6528 12.4513 11.0223 10.3901 10.0850 11.9273
13 0.212583 3.5056 5.0309 -2.2895 10.9845 13.2682 12.0811 10.6963 10.0764 9.7790 11.5867
14 0.233933 3.5086 5.0066 -2.2116 10.7786 13.0247 11.8473 10.4887 9.8772 9.5845 11.3700
15 0.253109 3.5111 4.9864 -2.1470 10.6085 12.8230 11.6543 10.3177 9.7127 9.4233 11.1913
16 0.275520 3.5140 4.9658 -2.0783 10.4285 12.6091 11.4507 10.1371 9.5388 9.2523 11.0025
17 0.294263 3.5163 4.9487 -2.0233 10.2850 12.4394 11.2894 9.9932 9.4001 9.1159 10.8523
18 0.305791 3.5177 4.9369 -1.9895 10.1980 12.3377 11.1932 9.9060 9.3156 9.0322 10.7618
19 0.312987 3.5184 4.9287 -1.9681 10.1431 12.2744 11.1333 9.8513 9.2623 8.9792 10.7050
20 0.317140 3.5196 4.9279 -1.9571 10.1130 12.2324 11.0949 9.8207 9.2345 8.9525 10.6716
21 0.319792 3.5197 4.9264 -1.9516 10.0990 12.2175 11.0806 9.8068 9.2207 8.9386 10.6575
22 0.321661 3.5193 4.9240 -1.9481 10.0919 12.2144 11.0767 9.8000 9.2126 8.9300 10.6518
23 0.323070 3.5190 4.9224 -1.9459 10.0875 12.2134 11.0749 9.7958 9.2074 8.9243 10.6484
24 0.324280 3.5193 4.9234 -1.9436 10.0804 12.2020 11.0647 9.7886 9.2014 8.9187 10.6402
25 0.325343 3.5201 4.9267 -1.9426 10.0755 12.1893 11.0540 9.7832 9.1981 8.9165 10.6328
26 0.326526 3.5202 4.9252 -1.9392 10.0672 12.1805 11.0456 9.7750 9.1899 8.9084 10.6244
27 0.327818 3.5203 4.9219 -1.9339 10.0539 12.1662 11.0319 9.7617 9.1767 8.8950 10.6110
28 0.328789 3.5203 4.9191 -1.9296 10.0434 12.1551 11.0215 9.7512 9.1660 8.8841 10.6005
29 0.330126 3.5204 4.9173 -1.9255 10.0329 12.1432 11.0103 9.7408 9.1558 8.8739 10.5898
30 0.332596 3.5207 4.9145 -1.9185 10.0151 12.1227 10.9910 9.7228 9.1382 8.8566 10.5715
31 0.354129 3.5244 4.8953 -1.8618 9.8682 11.9483 10.8318 9.5732 8.9961 8.7178 10.4174
32 0.360654 3.5258 4.8906 -1.8447 9.8239 11.8946 10.7825 9.5277 8.9538 8.6771 10.3702
33 0.369506 3.5276 4.8851 -1.8225 9.7649 11.8213 10.7136 9.4672 8.8983 8.6241 10.3063
34 0.550209 3.5673 4.7331 -1.3322 8.4552 10.1946 9.1815 8.1290 7.6754 7.4555 8.8874
35 0.565532 3.5730 4.7213 -1.2861 8.3237 10.0152 9.0037 7.9957 7.5618 7.3511 8.7361
36 0.582650 3.5795 4.7083 -1.2338 8.1717 9.8056 8.7933 7.8427 7.4333 7.2336 8.5597
37 0.600683 3.5868 4.6948 -1.1783 8.0069 9.5779 8.5627 7.6784 7.2976 7.1096 8.3674
38 0.617904 3.5938 4.6823 -1.1253 7.8499 9.3637 8.3457 7.5235 7.1701 6.9922 8.1850
39 0.637905 3.6026 4.6691 -1.0631 7.6605 9.1003 8.0796 7.3369 7.0194 6.8552 7.9629
40 0.659438 3.6123 4.6559 -0.9963 7.4534 8.8116 7.7887 7.1355 6.8591 6.7097 7.7197
41 0.680805 3.6223 4.6436 -0.9302 7.2467 8.5227 7.5018 6.9367 6.7019 6.5668 7.4777
42 0.703200 3.6331 4.6318 -0.8613 7.0301 8.2184 7.2118 6.7308 6.5366 6.4159 7.2275
43 0.728876 3.6457 4.6194 -0.7826 6.7844 7.8712 6.9000 6.4996 6.3453 6.2406 6.9492
44 0.752158 3.6574 4.6088 -0.7118 6.5665 7.5615 6.6407 6.2957 6.1684 6.0780 6.7084
45 0.770949 3.6666 4.5999 -0.6551 6.3964 7.3206 6.4478 6.1370 6.0259 5.9463 6.5236
46 0.786354 3.6741 4.5924 -0.6090 6.2610 7.1296 6.2987 6.0108 5.9100 5.8390 6.3782
47 0.798766 3.6799 4.5859 -0.5726 6.1560 6.9828 6.1853 5.9129 5.8191 5.7544 6.2662
48 0.809218 3.6845 4.5803 -0.5426 6.0706 6.8648 6.0937 5.8332 5.7449 5.6853 6.1754
49 0.818968 3.6887 4.5747 -0.5153 5.9938 6.7596 6.0117 5.7614 5.6778 5.6225 6.0938
50 0.828475 3.6927 4.5693 -0.4891 5.9206 6.6602 5.9342 5.6929 5.6136 5.5623 6.0163
51 0.837858 3.6964 4.5636 -0.4633 5.8493 6.5643 5.8590 5.6261 5.5509 5.5035 5.9411
52 0.845065 3.6993 4.5590 -0.4434 5.7947 6.4913 5.8014 5.5750 5.5029 5.4583 5.8835
53 0.852120 3.7022 4.5543 -0.4238 5.7411 6.4202 5.7451 5.5248 5.4558 5.4138 5.8270
54 0.858961 3.7049 4.5497 -0.4046 5.6888 6.3511 5.6903 5.4757 5.4098 5.3704 5.7720
55 0.865603 3.7076 4.5451 -0.3858 5.6380 6.2842 5.6371 5.4280 5.3649 5.3280 5.7185
56 0.872090 3.7102 4.5403 -0.3674 5.5884 6.2193 5.5852 5.3814 5.3211 5.2865 5.6664
57 0.878437 3.7128 4.5355 -0.3492 5.5399 6.1564 5.5346 5.3358 5.2783 5.2458 5.6156
58 0.884661 3.7153 4.5306 -0.3315 5.4925 6.0952 5.4853 5.2913 5.2364 5.2059 5.5659
59 0.890798 3.7176 4.5256 -0.3139 5.4461 6.0358 5.4370 5.2475 5.1951 5.1665 5.5173
60 0.896869 3.7199 4.5206 -0.2967 5.4005 5.9778 5.3897 5.2045 5.1545 5.1277 5.4696
61 0.902899 3.7222 4.5154 -0.2795 5.3557 5.9211 5.3431 5.1621 5.1144 5.0894 5.4227
62 0.908884 3.7244 4.5101 -0.2626 5.3113 5.8656 5.2973 5.1203 5.0749 5.0514 5.3766
63 0.914810 3.7265 4.5047 -0.2459 5.2678 5.8113 5.2523 5.0791 5.0359 5.0139 5.3312
64 0.920637 3.7286 4.4993 -0.2294 5.2251 5.7583 5.2082 5.0387 4.9975 4.9770 5.2869
65 0.926370 3.7306 4.4938 -0.2132 5.1833 5.7068 5.1652 4.9991 4.9599 4.9407 5.2434
66 0.931993 3.7325 4.4882 -0.1973 5.1425 5.6566 5.1231 4.9604 4.9231 4.9053 5.2011
67 0.937501 3.7344 4.4826 -0.1818 5.1027 5.6079 5.0821 4.9227 4.8872 4.8705 5.1598
68 0.942899 3.7362 4.4769 -0.1666 5.0638 5.5605 5.0422 4.8858 4.8521 4.8365 5.1195
69 0.948188 3.7378 4.4713 -0.1518 5.0258 5.5144 5.0031 4.8496 4.8176 4.8032 5.0801
70 0.953364 3.7394 4.4655 -0.1372 4.9887 5.4696 4.9651 4.8144 4.7839 4.7706 5.0417
71 0.958442 3.7410 4.4598 -0.1228 4.9524 5.4260 4.9278 4.7799 4.7509 4.7386 5.0042
72 0.963416 3.7425 4.4541 -0.1088 4.9169 5.3834 4.8915 4.7461 4.7186 4.7072 4.9675
73 0.968303 3.7439 4.4484 -0.0950 4.8821 5.3419 4.8559 4.7129 4.6869 4.6763 4.9316
74 0.973085 3.7454 4.4425 -0.0815 4.8481 5.3015 4.8210 4.6805 4.6558 4.6461 4.8965
75 0.977783 3.7467 4.4368 -0.0683 4.8147 5.2620 4.7869 4.6487 4.6253 4.6163 4.8621
76 0.982377 3.7480 4.4310 -0.0553 4.7822 5.2237 4.7537 4.6176 4.5953 4.5872 4.8286
77 0.986872 3.7493 4.4251 -0.0426 4.7503 5.1863 4.7212 4.5871 4.5661 4.5585 4.7958
78 0.991257 3.7504 4.4194 -0.0302 4.7192 5.1500 4.6895 4.5573 4.5374 4.5306 4.7639
79 0.995494 3.7515 4.4136 -0.0182 4.6891 5.1150 4.6589 4.5286 4.5097 4.5034 4.7330
80 0.999571 3.7526 4.4080 -0.0066 4.6602 5.0815 4.6295 4.5009 4.4830 4.4773 4.7033
81 1.003457 3.7535 4.4026 0.0046 4.6326 5.0496 4.6013 4.4744 4.4574 4.4523 4.6749
82 1.006184 3.7542 4.3987 0.0124 4.6130 5.0269 4.5814 4.4555 4.4392 4.4345 4.6548
83 1.008755 3.7549 4.3949 0.0199 4.5943 5.0054 4.5624 4.4376 4.4219 4.4175 4.6356
