raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
8.8216551,11.8076771,0.007,0.003,19.821,0.012,19.412,0.007,19.262,0.009,19.185,0.014,19.116,0.032
8.8218939,11.8391054,0.011,0.01,21.808,0.185,20.803,0.024,20.219,0.016,19.972,0.028,19.811,0.045
8.8219043,11.7953796,0.018,0.013,21.86,0.037,21.008,0.031,20.62,0.017,20.319,0.037,19.881,0.086
8.8219164,11.80459,0.005,0.003,19.446,0.008,18.974,0.008,18.793,0.009,18.719,0.013,18.661,0.022
8.8219821,11.7366947,0.006,0.005,19.451,0.005,18.844,0.007,18.575,0.005,18.483,0.009,18.403,0.023
8.8220659,11.8997378,0.039,0.03,22.002,0.106,21.401,0.038,21.083,0.052,20.835,0.006,20.375,0.156
8.8221237,11.8967203,0.01,0.011,20.813,0.033,20.52,0.021,20.244,0.02,20.29,0.021,19.986,0.054
8.8222593,11.7980047,0.011,0.012,21.865,0.125,20.675,0.015,19.827,0.018,19.412,0.012,19.149,0.043
8.8222961,11.7929349,0.004,0.005,18.27,0.004,17.767,0.003,17.569,0.003,17.496,0.009,17.448,0.009
8.8223146,11.7367021,0.009,0.007,22.186,0.2,21.138,0.039,19.769,0.017,19.12,0.011,18.837,0.013
8.822342,11.906592,0.002,0.015,16.765,0.003,16.137,0.002,15.904,0.002,15.831,0.005,15.768,0.008
8.8225619,11.883164,0.004,0.007,14.921,0.001,14.627,0.002,14.544,0.002,14.548,0.003,14.53,0.003
8.8225846,11.749907,0.007,0.005,17.721,0.006,16.715,0.002,16.309,0.004,16.136,0.004,16.015,0.003
8.822622,11.8705168,0.014,0.013,21.81,0.084,21.049,0.044,20.66,0.02,20.544,0.03,20.186,0.078
8.8226929,11.8345852,0.004,0.019,20.521,0.022,19.324,0.005,18.235,0.006,17.716,0.007,17.461,0.006
8.8227218,11.7460022,0.007,0.003,17.288,0.004,16.847,0.004,16.674,0.004,16.633,0.003,16.585,0.009
8.8227793,11.9295233,0.003,0.005,19.068,0.029,18.351,0.033,17.851,0.016,17.758,0.041,17.702,0.026
8.822793,11.870372,0.003,0.007,15.932,0.002,15.517,0.001,15.364,0.002,15.333,0.003,15.274,0.006
8.8229435,11.7644755,0.005,0.002,20.71,0.041,19.629,0.009,18.14,0.002,17.481,0.004,17.169,0.007
8.8229527,11.9165616,0.022,0.023,20.348,0.034,19.892,0.022,19.689,0.023,19.579,0.023,19.554,0.02
8.8229987,11.6856497,0.009,0.007,21.44,0.065,20.202,0.024,19.65,0.025,19.409,0.027,19.227,0.062
8.8230703,11.7857541,0.007,0.006,21.744,0.047,20.582,0.015,19.306,0.007,18.705,0.01,18.418,0.019
8.8230811,11.7996948,0.017,0.002,21.446,0.035,20.27,0.019,18.921,0.011,18.307,0.005,18.018,0.01
8.8231176,11.9480194,0.008,0.005,20.328,0.018,19.877,0.016,19.457,0.013,19.445,0.038,19.192,0.063
8.8231239,11.8613347,0.009,0.009,21.716,0.16,21.883,0.07,20.308,0.025,19.514,0.012,19.009,0.03
8.8231788,11.681274,0.028,0.024,20.257,0.061,20.125,0.011,20.099,0.051,20.337,0.08,20.098,0.24
8.823201,11.9330335,0.006,0.006,19.943,0.011,19.687,0.009,19.64,0.006,19.599,0.027,19.578,0.028
8.823224,11.7427186,0.016,0.017,22.34,0.196,21.058,0.028,20.444,0.028,20.188,0.027,19.868,0.045
