#AGE=16.000 EEPS=266
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
14 0.104506 3.5449 5.3762 -2.7859 11.9193 13.7145 12.2998 11.5828 11.2641 11.0955 12.2307
15 0.114078 3.5539 5.3314 -2.6667 11.6117 13.3178 11.9447 11.2831 10.9829 10.8181 11.9028
16 0.124249 3.5629 5.2872 -2.5505 11.3087 12.9303 11.6044 10.9873 10.7032 10.5435 11.5827
17 0.134721 3.5708 5.2473 -2.4441 11.0320 12.5780 11.3000 10.7169 10.4456 10.2908 11.2921
18 0.145045 3.5771 5.2149 -2.3534 10.7960 12.2792 11.0449 10.4859 10.2244 10.0742 11.0452
19 0.154936 3.5821 5.1885 -2.2781 10.6005 12.0353 10.8371 10.2950 10.0408 9.8939 10.8422
20 0.164565 3.5862 5.1663 -2.2135 10.4334 11.8291 10.6597 10.1306 9.8822 9.7385 10.6688
21 0.174517 3.5896 5.1461 -2.1534 10.2777 11.6392 10.4958 9.9784 9.7342 9.5934 10.5079
22 0.185328 3.5933 5.1267 -2.0937 10.1228 11.4524 10.3340 9.8266 9.5871 9.4487 10.3483
23 0.201523 3.5975 5.1005 -2.0137 9.9166 11.2048 10.1178 9.6239 9.3899 9.2553 10.1353
24 0.224507 3.6029 5.0710 -1.9178 9.6694 10.9098 9.8603 9.3809 9.1537 9.0233 9.8810
25 0.246960 3.6074 5.0456 -1.8330 9.4496 10.6510 9.6332 9.1650 8.9434 8.8168 9.6551
26 0.270688 3.6116 5.0239 -1.7542 9.2452 10.4130 9.4214 8.9639 8.7477 8.6247 9.4453
27 0.293100 3.6152 5.0083 -1.6897 9.0785 10.2187 9.2487 8.8000 8.5884 8.4686 9.2738
28 0.307462 3.6173 5.0009 -1.6536 8.9837 10.1086 9.1506 8.7070 8.4985 8.3804 9.1767
29 0.316217 3.6180 4.9974 -1.6331 8.9308 10.0466 9.0955 8.6549 8.4477 8.3305 9.1222
30 0.321837 3.6192 4.9943 -1.6195 8.8954 10.0053 9.0586 8.6201 8.4139 8.2975 9.0859
31 0.326138 3.6198 4.9933 -1.6102 8.8706 9.9760 9.0327 8.5958 8.3904 8.2747 9.0600
32 0.330638 3.6203 4.9904 -1.5988 8.8410 9.9413 9.0021 8.5666 8.3620 8.2471 9.0294
33 0.336465 3.6211 4.9869 -1.5845 8.8033 9.8971 8.9629 8.5300 8.3267 8.2125 8.9909
34 0.343866 3.6223 4.9820 -1.5649 8.7528 9.8379 8.9103 8.4804 8.2789 8.1658 8.9388
35 0.351956 3.6239 4.9759 -1.5434 8.6955 9.7699 8.8509 8.4245 8.2247 8.1132 8.8795
36 0.360229 3.6255 4.9691 -1.5204 8.6350 9.6970 8.7872 8.3649 8.1678 8.0572 8.8167
37 0.368389 3.6273 4.9620 -1.4969 8.5729 9.6231 8.7224 8.3046 8.1101 8.0011 8.7528
38 0.376417 3.6292 4.9550 -1.4737 8.5115 9.5494 8.6581 8.2448 8.0524 7.9453 8.6889
39 0.384563 3.6308 4.9477 -1.4504 8.4501 9.4765 8.5941 8.1848 7.9946 7.8889 8.6252
40 0.390468 3.6316 4.9466 -1.4391 8.4214 9.4438 8.5646 8.1567 7.9676 7.8620 8.5958
41 0.406363 3.6351 4.9246 -1.3845 8.2780 9.2718 8.4148 8.0161 7.8318 7.7300 8.4475
42 0.416014 3.6379 4.9103 -1.3489 8.1838 9.1577 8.3161 7.9247 7.7437 7.6443 8.3501
43 0.421841 3.6396 4.9007 -1.3267 8.1254 9.0875 8.2546 7.8675 7.6888 7.5906 8.2894
44 0.428231 3.6414 4.8901 -1.3023 8.0612 9.0101 8.1873 7.8046 7.6286 7.5322 8.2227
45 0.435387 3.6433 4.8802 -1.2759 7.9917 8.9251 8.1142 7.7372 7.5645 7.4696 8.1503
46 0.443383 3.6461 4.8689 -1.2463 7.9130 8.8282 8.0310 7.6609 7.4918 7.3996 8.0683
47 0.451029 3.6489 4.8577 -1.2173 7.8356 8.7326 7.9497 7.5860 7.4205 7.3304 7.9877
48 0.457909 3.6512 4.8477 -1.1902 7.7629 8.6419 7.8722 7.5154 7.3536 7.2656 7.9116
49 0.464648 3.6542 4.8380 -1.1623 7.6888 8.5489 7.7938 7.4441 7.2862 7.2007 7.8339
50 0.471154 3.6572 4.8291 -1.1353 7.6158 8.4559 7.7163 7.3738 7.2202 7.1371 7.7572
51 0.477439 3.6601 4.8201 -1.1085 7.5441 8.3643 7.6403 7.3052 7.1556 7.0754 7.6820
52 0.481646 3.6625 4.8146 -1.0904 7.4958 8.3023 7.5886 7.2591 7.1124 7.0337 7.6309
53 0.485943 3.6646 4.8088 -1.0718 7.4464 8.2382 7.5359 7.2119 7.0681 6.9916 7.5785
54 0.490373 3.6671 4.8031 -1.0531 7.3966 8.1747 7.4826 7.1638 7.0235 6.9484 7.5262
55 0.494834 3.6689 4.7968 -1.0345 7.3462 8.1113 7.4296 7.1159 6.9781 6.9051 7.4737
56 0.499303 3.6716 4.7909 -1.0154 7.2949 8.0457 7.3749 7.0670 6.9322 6.8611 7.4194
57 0.503765 3.6738 4.7849 -0.9960 7.2431 7.9793 7.3197 7.0176 6.8860 6.8172 7.3646
58 0.508202 3.6764 4.7795 -0.9762 7.1906 7.9111 7.2637 6.9677 6.8398 6.7728 7.3093
59 0.512589 3.6790 4.7739 -0.9564 7.1380 7.8435 7.2078 6.9178 6.7933 6.7289 7.2537
60 0.516940 3.6819 4.7689 -0.9366 7.0858 7.7768 7.1525 6.8682 6.7466 6.6846 7.1987
61 0.521252 3.6846 4.7634 -0.9166 7.0335 7.7098 7.0970 6.8186 6.7004 6.6405 7.1438
62 0.525509 3.6875 4.7588 -0.8969 6.9815 7.6432 7.0417 6.7692 6.6547 6.5968 7.0888
63 0.529717 3.6904 4.7541 -0.8771 6.9298 7.5769 6.9868 6.7203 6.6093 6.5537 7.0341
64 0.533896 3.6935 4.7495 -0.8573 6.8784 7.5106 6.9326 6.6720 6.5642 6.5110 6.9801
65 0.538050 3.6964 4.7451 -0.8379 6.8285 7.4466 6.8792 6.6246 6.5200 6.4690 6.9276
66 0.542178 3.6987 4.7398 -0.8189 6.7789 7.3847 6.8274 6.5775 6.4760 6.4269 6.8754
67 0.546366 3.7013 4.7345 -0.7990 6.7293 7.3217 6.7749 6.5305 6.4321 6.3850 6.8230
68 0.550595 3.7044 4.7291 -0.7796 6.6790 7.2580 6.7218 6.4828 6.3875 6.3430 6.7702
69 0.554857 3.7070 4.7239 -0.7595 6.6283 7.1943 6.6686 6.4354 6.3430 6.3008 6.7173
70 0.559148 3.7100 4.7181 -0.7394 6.5777 7.1312 6.6153 6.3876 6.2983 6.2579 6.6643
71 0.563432 3.7130 4.7130 -0.7195 6.5275 7.0681 6.5626 6.3397 6.2539 6.2157 6.6115
72 0.567698 3.7156 4.7072 -0.6995 6.4776 7.0054 6.5103 6.2932 6.2101 6.1738 6.5592
73 0.571940 3.7183 4.7019 -0.6793 6.4283 6.9435 6.4587 6.2468 6.1667 6.1323 6.5073
74 0.576138 3.7210 4.6958 -0.6598 6.3799 6.8830 6.4079 6.2006 6.1237 6.0912 6.4567
75 0.580243 3.7237 4.6902 -0.6405 6.3324 6.8243 6.3583 6.1559 6.0812 6.0509 6.4070
76 0.584173 3.7263 4.6848 -0.6220 6.2860 6.7681 6.3101 6.1121 6.0402 6.0118 6.3588
77 0.587911 3.7285 4.6795 -0.6040 6.2424 6.7145 6.2646 6.0706 6.0012 5.9740 6.3129
78 0.591482 3.7312 4.6744 -0.5869 6.2000 6.6627 6.2202 6.0307 5.9634 5.9378 6.2689
79 0.594884 3.7333 4.6689 -0.5698 6.1592 6.6136 6.1779 5.9920 5.9268 5.9028 6.2263
80 0.598138 3.7354 4.6636 -0.5540 6.1195 6.5655 6.1369 5.9546 5.8917 5.8696 6.1850
81 0.601254 3.7375 4.6584 -0.5379 6.0816 6.5192 6.0971 5.9187 5.8577 5.8369 6.1456
