#AGE= 1.000 EEPS=272
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
3 0.134301 3.5082 5.1893 -2.6370 11.8016 14.0394 12.8066 11.4928 10.9138 10.6569 12.3601
4 0.171495 3.5117 5.1077 -2.4359 11.2837 13.4672 12.2464 10.9737 10.4069 10.1552 11.8271
5 0.227666 3.5205 5.0431 -2.2122 10.6983 12.7735 11.5781 10.3868 9.8474 9.6038 11.2102
6 0.293678 3.5298 4.9936 -2.0151 10.1781 12.1503 10.9797 9.8648 9.3541 9.1197 10.6588
7 0.314394 3.5328 4.9768 -1.9569 10.0236 11.9654 10.8011 9.7096 9.2086 8.9776 10.4941
8 0.320721 3.5337 4.9697 -1.9375 9.9727 11.9052 10.7428 9.6585 9.1605 8.9305 10.4401
9 0.324370 3.5341 4.9643 -1.9251 9.9405 11.8679 10.7066 9.6263 9.1299 8.9003 10.4063
10 0.328514 3.5346 4.9574 -1.9107 9.9034 11.8255 10.6656 9.5893 9.0944 8.8651 10.3677
11 0.335880 3.5356 4.9479 -1.8878 9.8443 11.7569 10.5999 9.5302 9.0377 8.8092 10.3059
12 0.355030 3.5383 4.9309 -1.8369 9.7109 11.5971 10.4489 9.3959 8.9105 8.6847 10.1649
13 0.380158 3.5424 4.9100 -1.7709 9.5358 11.3838 10.2477 9.2183 8.7452 8.5247 9.9775
14 0.430302 3.5525 4.8623 -1.6272 9.1492 10.9119 9.7931 8.8285 8.3895 8.1826 9.5594
15 0.451394 3.5575 4.8410 -1.5652 8.9816 10.7045 9.5932 8.6589 8.2368 8.0367 9.3764
16 0.464517 3.5610 4.8276 -1.5259 8.8748 10.5712 9.4637 8.5506 8.1404 7.9453 9.2589
17 0.478497 3.5648 4.8132 -1.4830 8.7576 10.4239 9.3200 8.4325 8.0361 7.8463 9.1295
18 0.489829 3.5683 4.8007 -1.4461 8.6555 10.2938 9.1913 8.3308 7.9473 7.7621 9.0157
19 0.496425 3.5704 4.7918 -1.4227 8.5891 10.2083 9.1043 8.2667 7.8918 7.7090 8.9412
20 0.499417 3.5710 4.7858 -1.4108 8.5577 10.1736 9.0699 8.2379 7.8653 7.6815 8.9088
21 0.500669 3.5707 4.7813 -1.4051 8.5524 10.1797 9.0812 8.2338 7.8557 7.6678 8.9098
22 0.502499 3.5706 4.7763 -1.3975 8.5448 10.1792 9.0886 8.2238 7.8390 7.6481 8.9080
23 0.507242 3.5717 4.7692 -1.3807 8.5066 10.1332 9.0426 8.1822 7.7991 7.6089 8.8667
24 0.515843 3.5746 4.7602 -1.3519 8.4294 10.0322 8.9382 8.1029 7.7309 7.5444 8.7785
25 0.529094 3.5797 4.7487 -1.3096 8.3090 9.8708 8.7746 7.9818 7.6292 7.4498 8.6398
26 0.546763 3.5869 4.7354 -1.2540 8.1462 9.6495 8.5530 7.8202 7.4955 7.3261 8.4517
27 0.571826 3.5977 4.7189 -1.1755 7.9118 9.3272 8.2334 7.5905 7.3086 7.1537 8.1800
28 0.709134 3.6573 4.6615 -0.7993 6.7908 7.7579 6.8899 6.5343 6.3917 6.3053 6.9387
