#AGE=12.000 EEPS=267
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
13 0.120189 3.4778 5.1598 -2.7776 12.3642 14.9674 13.7210 12.1371 11.3974 11.0068 13.0949
14 0.141827 3.4810 5.1055 -2.6385 12.0146 14.5775 13.3429 11.7841 11.0540 10.6653 12.7342
15 0.160851 3.4846 5.0679 -2.5321 11.7468 14.2709 13.0492 11.5139 10.7918 10.4054 12.4566
16 0.176702 3.4880 5.0419 -2.4516 11.5437 14.0330 12.8240 11.3092 10.5938 10.2096 12.2453
17 0.190951 3.4909 5.0208 -2.3851 11.3713 13.8297 12.6306 11.1347 10.4259 10.0456 12.0646
18 0.204659 3.4934 5.0015 -2.3258 11.2130 13.6436 12.4513 10.9735 10.2719 9.8971 11.8973
19 0.218541 3.4956 4.9835 -2.2704 11.0634 13.4674 12.2815 10.8210 10.1264 9.7572 11.7390
20 0.233181 3.4979 4.9664 -2.2160 10.9159 13.2936 12.1137 10.6707 9.9830 9.6196 11.5828
21 0.249074 3.5002 4.9495 -2.1613 10.7651 13.1150 11.9411 10.5166 9.8367 9.4800 11.4223
22 0.270811 3.5031 4.9283 -2.0919 10.5732 12.8872 11.7209 10.3203 9.6506 9.3025 11.2178
23 0.291271 3.5058 4.9121 -2.0336 10.4140 12.6988 11.5407 10.1578 9.4962 9.1542 11.0490
24 0.303697 3.5073 4.9038 -2.0009 10.3250 12.5934 11.4404 10.0669 9.4099 9.0711 10.9546
25 0.311125 3.5082 4.9003 -1.9833 10.2767 12.5356 11.3856 10.0173 9.3633 9.0264 10.9030
26 0.315871 3.5088 4.9002 -1.9741 10.2506 12.5032 11.3551 9.9904 9.3384 9.0029 10.8748
27 0.319393 3.5092 4.8972 -1.9648 10.2257 12.4744 11.3277 9.9651 9.3141 8.9793 10.8487
28 0.321965 3.5095 4.8940 -1.9569 10.2049 12.4504 11.3049 9.9440 9.2937 8.9594 10.8270
29 0.323738 3.5098 4.8951 -1.9545 10.1974 12.4400 11.2953 9.9360 9.2867 8.9531 10.8184
30 0.325615 3.5100 4.8932 -1.9491 10.1832 12.4235 11.2797 9.9216 9.2729 8.9396 10.8035
31 0.327640 3.5103 4.8921 -1.9441 10.1696 12.4071 11.2643 9.9078 9.2598 8.9270 10.7891
32 0.330527 3.5107 4.8896 -1.9364 10.1491 12.3832 11.2419 9.8869 9.2399 8.9074 10.7676
33 0.334542 3.5111 4.8865 -1.9262 10.1223 12.3520 11.2127 9.8598 9.2138 8.8818 10.7396
34 0.340824 3.5118 4.8822 -1.9113 10.0831 12.3068 11.1700 9.8201 9.1756 8.8444 10.6988
35 0.422851 3.5245 4.8159 -1.7021 9.5342 11.6551 10.5737 9.2627 8.6436 8.3232 10.1243
36 0.445273 3.5292 4.7966 -1.6424 9.3778 11.4677 10.4058 9.1023 8.4926 8.1762 9.9597
37 0.475671 3.5356 4.7706 -1.5599 9.1594 11.2077 10.1720 8.8772 8.2813 7.9717 9.7296
38 0.492315 3.5398 4.7557 -1.5128 9.0368 11.0607 10.0410 8.7502 8.1632 7.8581 9.5998
39 0.510512 3.5450 4.7402 -1.4607 8.9016 10.8973 9.8950 8.6096 8.0337 7.7345 9.4558
40 0.529235 3.5510 4.7248 -1.4056 8.7584 10.7212 9.7365 8.4600 7.8980 7.6059 9.3013
41 0.548564 3.5579 4.7096 -1.3476 8.6045 10.5254 9.5566 8.2995 7.7547 7.4719 9.1322
42 0.566346 3.5647 4.6961 -1.2929 8.4553 10.3276 9.3705 8.1439 7.6189 7.3465 8.9644
43 0.582963 3.5715 4.6839 -1.2410 8.3089 10.1276 9.1779 7.9917 7.4889 7.2284 8.7963
44 0.597753 3.5779 4.6733 -1.1941 8.1718 9.9353 8.9892 7.8497 7.3701 7.1222 8.6360
45 0.611261 3.5840 4.6639 -1.1508 8.0385 9.7437 8.7978 7.7127 7.2583 7.0238 8.4775
46 0.623959 3.5897 4.6552 -1.1098 7.9086 9.5550 8.6068 7.5800 7.1518 6.9313 8.3214
47 0.635689 3.5953 4.6473 -1.0717 7.7844 9.3731 8.4206 7.4542 7.0524 6.8455 8.1712
48 0.646680 3.6005 4.6400 -1.0358 7.6651 9.1979 8.2396 7.3342 6.9587 6.7650 8.0261
49 0.657249 3.6057 4.6330 -1.0013 7.5495 9.0300 8.0638 7.2196 6.8706 6.6890 7.8855
50 0.667257 3.6105 4.6265 -0.9686 7.4393 8.8708 7.8961 7.1111 6.7878 6.6175 7.7514
51 0.676155 3.6150 4.6207 -0.9393 7.3405 8.7293 7.7468 7.0149 6.7145 6.5538 7.6316
52 0.683242 3.6186 4.6160 -0.9158 7.2612 8.6164 7.6281 6.9381 6.6561 6.5028 7.5359
53 0.690174 3.6221 4.6113 -0.8928 7.1837 8.5066 7.5135 6.8634 6.5991 6.4527 7.4428
54 0.696952 3.6255 4.6068 -0.8702 7.1085 8.4011 7.4055 6.7914 6.5432 6.4033 7.3537
55 0.703586 3.6288 4.6023 -0.8482 7.0354 8.2992 7.3023 6.7216 6.4888 6.3547 7.2675
56 0.710034 3.6322 4.5979 -0.8266 6.9647 8.2009 7.2040 6.6542 6.4357 6.3072 7.1848
57 0.716321 3.6354 4.5936 -0.8056 6.8961 8.1060 7.1105 6.5891 6.3839 6.2606 7.1051
58 0.722511 3.6385 4.5893 -0.7850 6.8292 8.0138 7.0211 6.5259 6.3331 6.2147 7.0281
59 0.728569 3.6416 4.5849 -0.7648 6.7644 7.9248 6.9358 6.4646 6.2832 6.1694 6.9538
60 0.734493 3.6447 4.5808 -0.7449 6.7010 7.8376 6.8541 6.4048 6.2339 6.1247 6.8819
61 0.740316 3.6476 4.5765 -0.7254 6.6395 7.7532 6.7761 6.3467 6.1855 6.0805 6.8125
62 0.746019 3.6505 4.5723 -0.7062 6.5793 7.6706 6.7010 6.2900 6.1376 6.0368 6.7450
63 0.751644 3.6534 4.5681 -0.6872 6.5204 7.5899 6.6287 6.2346 6.0904 5.9936 6.6795
64 0.757208 3.6562 4.5639 -0.6686 6.4628 7.5111 6.5591 6.1804 6.0437 5.9507 6.6157
65 0.762675 3.6589 4.5596 -0.6502 6.4066 7.4343 6.4922 6.1275 5.9976 5.9084 6.5538
66 0.768048 3.6616 4.5553 -0.6322 6.3519 7.3597 6.4280 6.0762 5.9523 5.8667 6.4939
67 0.773339 3.6642 4.5510 -0.6144 6.2987 7.2870 6.3663 6.0261 5.9077 5.8256 6.4360
68 0.778509 3.6667 4.5466 -0.5971 6.2471 7.2169 6.3075 5.9778 5.8642 5.7854 6.3802
69 0.783563 3.6691 4.5422 -0.5801 6.1972 7.1490 6.2511 5.9308 5.8217 5.7460 6.3263
70 0.788502 3.6715 4.5377 -0.5636 6.1490 7.0835 6.1971 5.8855 5.7802 5.7075 6.2744
71 0.793336 3.6738 4.5332 -0.5474 6.1020 7.0198 6.1450 5.8413 5.7395 5.6697 6.2241
72 0.798066 3.6759 4.5288 -0.5316 6.0564 6.9583 6.0949 5.7983 5.6998 5.6328 6.1755
73 0.802653 3.6781 4.5243 -0.5161 6.0120 6.8985 6.0465 5.7567 5.6611 5.5967 6.1283
74 0.807101 3.6802 4.5199 -0.5011 5.9690 6.8407 5.9999 5.7163 5.6234 5.5615 6.0826
75 0.811441 3.6822 4.5155 -0.4863 5.9269 6.7842 5.9544 5.6768 5.5865 5.5271 6.0380
76 0.815679 3.6842 4.5111 -0.4718 5.8860 6.7294 5.9102 5.6382 5.5504 5.4934 5.9945
77 0.819837 3.6860 4.5067 -0.4575 5.8458 6.6757 5.8671 5.6003 5.5150 5.4602 5.9520
78 0.823921 3.6879 4.5022 -0.4434 5.8064 6.6233 5.8251 5.5633 5.4801 5.4274 5.9104
79 0.827950 3.6897 4.4977 -0.4295 5.7676 6.5719 5.7838 5.5267 5.4457 5.3952 5.8695
80 0.831923 3.6915 4.4931 -0.4158 5.7294 6.5216 5.7434 5.4907 5.4118 5.3632 5.8293
81 0.835844 3.6932 4.4884 -0.4021 5.6919 6.4725 5.7037 5.4553 5.3783 5.3317 5.7899
82 0.839389 3.6947 4.4840 -0.3898 5.6582 6.4284 5.6681 5.4233 5.3480 5.3031 5.7544
83 0.842919 3.6963 4.4796 -0.3776 5.6246 6.3847 5.6327 5.3916 5.3179 5.2746 5.7192
84 0.846400 3.6977 4.4752 -0.3655 5.5916 6.3420 5.5982 5.3603 5.2883 5.2466 5.6846
85 0.849830 3.6992 4.4707 -0.3535 5.5592 6.3004 5.5642 5.3297 5.2591 5.2188 5.6507
