#AGE= 2.000 EEPS=272
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
6 0.141298 3.4807 5.1111 -2.6473 12.0374 14.6051 13.3694 11.8076 11.0761 10.6870 12.7586
7 0.176839 3.4879 5.0560 -2.4656 11.5789 14.0701 12.8606 11.3445 10.6287 10.2444 12.2810
8 0.231561 3.4977 4.9995 -2.2527 11.0071 13.3876 12.2061 10.7614 10.0740 9.7112 11.6741
9 0.277924 3.5042 4.9625 -2.1108 10.6102 12.9120 11.7461 10.3544 9.6901 9.3473 11.2488
10 0.302129 3.5071 4.9410 -2.0411 10.4224 12.6919 11.5359 10.1631 9.5077 9.1709 11.0506
11 0.315989 3.5087 4.9247 -1.9991 10.3115 12.5650 11.4148 10.0508 9.3994 9.0651 10.9350
12 0.322039 3.5096 4.9218 -1.9843 10.2704 12.5143 11.3672 10.0086 9.3599 9.0274 10.8907
13 0.325044 3.5098 4.9215 -1.9788 10.2553 12.4965 11.3501 9.9931 9.3454 9.0136 10.8747
14 0.327991 3.5103 4.9228 -1.9742 10.2411 12.4769 11.3321 9.9781 9.3321 9.0014 10.8585
15 0.334097 3.5109 4.9163 -1.9576 10.1986 12.4297 11.2871 9.9354 9.2903 8.9601 10.8149
16 0.340603 3.5115 4.9079 -1.9383 10.1486 12.3734 11.2338 9.8850 9.2413 8.9115 10.7634
17 0.354066 3.5132 4.8943 -1.9016 10.0530 12.2631 11.1304 9.7885 9.1481 8.8198 10.6642
18 0.386609 3.5176 4.8673 -1.8191 9.8370 12.0083 10.8950 9.5697 8.9384 8.6139 10.4385
19 0.429364 3.5249 4.8336 -1.7119 9.5556 11.6710 10.5898 9.2833 8.6665 8.3477 10.1432
20 0.448530 3.5288 4.8179 -1.6620 9.4249 11.5140 10.4490 9.1494 8.5405 8.2252 10.0056
21 0.477540 3.5346 4.7953 -1.5868 9.2242 11.2745 10.2328 8.9426 8.3464 8.0375 9.7938
22 0.494289 3.5387 4.7816 -1.5417 9.1066 11.1328 10.1064 8.8207 8.2331 7.9286 9.6691
23 0.520782 3.5460 4.7617 -1.4700 8.9193 10.9046 9.9023 8.6257 8.0543 7.7583 9.4687
24 0.557728 3.5581 4.7362 -1.3663 8.6441 10.5551 9.5827 8.3384 7.7979 7.5180 9.1667
25 0.600607 3.5745 4.7094 -1.2422 8.2930 10.0747 9.1198 7.9742 7.4870 7.2354 8.7635
