raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,Ang Sep (')
290.0115438,37.7739747,0.004,0.017,20.022,0.02,19.476,0.009,19.278,0.014,19.145,0.011,9.97
290.0120387,37.7673002,0.006,0.017,20.808,0.021,19.816,0.012,19.429,0.008,19.219,0.021,9.95
290.0121942,37.7766338,0.011,0.021,21.081,0.051,20.672,0.024,20.546,0.022,20.567,0.032,9.942
290.0140029,37.7796788,0.001,0.007,19.187,0.012,18.034,0.007,17.536,0.009,17.276,0.006,9.863
290.0148862,37.7531167,0.004,0.012,20.105,0.024,18.979,0.008,18.437,0.005,18.165,0.009,9.877
290.0151122,37.7946226,0.004,0.004,20.473,0.024,19.131,0.016,18.246,0.012,17.816,0.004,9.893
290.0153261,37.8043859,0.004,0.006,19.793,0.013,19.185,0.006,18.95,0.015,18.808,0.01,9.98
290.0154136,37.7767234,0.003,0.011,20.101,0.015,18.852,0.011,17.481,0.005,16.833,0.002,9.79
290.0156108,37.7473519,0.006,0.029,21.92,0.038,20.742,0.026,20.159,0.024,19.843,0.024,9.888
290.0156322,37.7519083,0.01,0.018,22.127,0.104,21.042,0.027,19.974,0.029,19.526,0.026,9.85
290.0156363,37.7682467,0.007,0.017,20.617,0.034,20.153,0.014,19.863,0.052,19.745,0.025,9.778
290.0158361,37.7865769,0.005,0.011,19.703,0.019,19.255,0.004,19.068,0.012,19.004,0.016,9.805
290.0159338,37.7614653,0.006,0.015,19.895,0.007,19.091,0.005,18.809,0.006,18.656,0.012,9.782
290.0163583,37.801363,0.006,0.003,18.603,0.000798,18.019,0.007,17.797,0.011,17.702,0.006,9.898
290.0165232,37.7641703,0.019,0.009,16.971,0.005,16.479,0.004,16.306,0.004,16.222,0.005,9.745
290.0166872,37.754754,0.002,0.003,17.662,0.003,17.037,0.002,16.787,0.005,16.661,0.003,9.781
290.0167754,37.7953438,0.005,0.007,20.802,0.032,19.502,0.029,18.732,0.005,18.367,0.008,9.821
290.0167906,37.7467521,0.018,0.038,20.721,0.022,20.225,0.05,19.989,0.017,19.915,0.027,9.839
290.0169283,37.7942252,0.023,0.02,21.332,0.057,20.815,0.026,20.506,0.037,20.28,0.025,9.805
290.0173516,37.7346094,0.008,0.008,18.892,0.01,18.248,0.008,18.015,0.01,17.913,0.01,9.951
290.0173536,37.7450895,0.005,0.053,21.297,0.039,20.378,0.024,19.98,0.025,19.798,0.035,9.828
290.017364,37.8091858,0.005,0.005,15.811,0.005,15.244,0.001,15.032,0.003,14.957,0.005,9.946
290.0176685,37.7366332,0.006,0.011,19.317,0.007,18.761,0.009,18.537,0.012,18.473,0.013,9.91
290.0178844,37.749813,0.005,0.013,19.896,0.013,19.455,0.021,19.272,0.007,19.239,0.039,9.761
290.0181799,37.7456571,0.014,0.049,21.35,0.041,20.57,0.017,20.305,0.056,20.152,0.02,9.784
290.0184282,37.8058657,0.023,0.027,21.487,0.036,20.711,0.034,20.366,0.036,20.248,0.015,9.854
290.0188832,37.7671556,0.005,0.017,20.098,0.019,19.569,0.016,19.369,0.015,19.239,0.013,9.626
290.0192191,37.7606278,0.018,0.01,20.153,0.021,19.258,0.004,18.907,0.008,18.709,0.011,9.63
290.0192277,37.7495424,0.013,0.019,21.105,0.056,19.949,0.032,18.785,0.009,18.258,0.011,9.7
290.0192399,37.8025986,0.02,0.025,21.766,0.129,21.027,0.029,20.772,0.024,20.417,0.062,9.778
290.0193278,37.8013519,0.044,0.01,18.236,0.005,17.726,0.009,17.524,0.008,17.476,0.01,9.76
290.01973,37.7872434,0.014,0.02,21.139,0.055,20.442,0.056,19.88,0.068,19.566,0.037,9.624
290.0198089,37.7275749,0.007,0.009,20.057,0.025,19.35,0.013,19.092,0.014,18.977,0.015,9.943
290.0198848,37.7376339,0.01,0.01,17.34,0.008,16.795,0.007,16.547,0.009,16.436,0.008,9.794
290.0199309,37.8078231,0.016,0.019,21.069,0.021,20.662,0.034,20.407,0.032,20.06,0.063,9.809
290.0199458,37.7566476,0.014,0.019,21.146,0.088,20.724,0.015,20.567,0.022,20.432,0.06,9.616
290.0199674,37.7747679,0.004,0.015,21.544,0.04,20.113,0.022,19.001,0.01,18.449,0.01,9.571
290.0200957,37.7311307,0.004,0.009,21.34,0.112,19.906,0.025,18.803,0.009,18.231,0.015,9.874
290.0202117,37.789479,0.016,0.019,22.129,0.188,21.436,0.084,20.539,0.022,20.212,0.034,9.615
290.0203497,37.7576774,0.006,0.022,20.568,0.026,20.168,0.033,20.034,0.021,19.989,0.017,9.591
290.0206603,37.7654701,0.005,0.009,18.663,0.004,18.024,0.007,17.764,0.005,17.658,0.004,9.545
290.02126,37.7536509,0.013,0.023,22.088,0.17,21.006,0.026,20.465,0.043,20.027,0.022,9.573
290.021757,37.7501345,0.03,0.04,19.652,0.073,21.745,0.195,21.117,0.081,20.835,0.22,9.576
290.0221435,37.8010853,0.01,0.008,20.134,0.051,19.378,0.054,18.824,0.007,18.557,0.021,9.626
290.0223871,37.8068242,0.017,0.028,20.021,0.029,19.424,0.01,19.154,0.011,18.92,0.043,9.683
290.0224536,37.7555979,0.018,0.027,22.064,0.046,21.29,0.004,20.779,0.063,20.554,0.048,9.504
290.0229955,37.8080308,0.01,0.023,21.071,0.061,20.394,0.023,19.98,0.017,19.788,0.024,9.67
290.0231871,37.721925,0.015,0.026,21.339,0.043,20.788,0.021,20.62,0.024,20.543,0.037,9.886
290.0234954,37.7719388,0.003,0.018,21.147,0.013,20.15,0.018,19.748,0.027,19.58,0.03,9.403
290.0235516,37.7684985,0.045,0.018,21.515,0.062,20.614,0.023,20.176,0.015,19.966,0.025,9.402
290.0236568,37.8064659,0.002,0.004,15.908,0.005,15.38,0.002,15.197,0.002,15.127,0.003,9.619
290.0237603,37.7957297,0.018,0.04,21.581,0.042,20.276,0.002,19.576,0.016,19.285,0.011,9.497
