# Name                   redshift           CO_Transition Lir           fagn  
  SDSS_J010033.99-010912.2 2.0864999294281006 CO(9-8)       1.24730003E13 0.1767
  SDSS_J010249.02-010544.8 1.0368000268936155 CO(6-5)       7.6408999E12  0.067 
  SDSS_J010315.69+003524.1 2.07               CO(9-8)       1.47600001E13 0.1206
  SDSS_J010900.86+000137.1 2.955              CO(12-11)     1.59599999E13 0.2293
  SDSS_J010954.37+003813.0 1.980299949645996  CO(9-8)       8.3626998E12  0.4649
  SDSS_J011032.18-010320.4 1.3139958381652832 CO(7-6)       3.84150012E12 0.2688
  SDSS_J011900.32-000156.7 2.75               CO(11-10)     2.50239999E13 0.5777
  SDSS_J011910.06-001420.0 2.628              CO(11-10)     1.14029998E13 0.3553
  SDSS_J011922.85-004419.7 1.0565999746322632 CO(6-5)       5.1445E12     0.1004
  SDSS_J012109.92-002909.3 1.722599983215332  CO(8-7)       4.9216E12     0.2254
  SDSS_J012700.69-004559.2 4.105              CO(15-14)     5.5967002E13  0.601 
  SDSS_J012748.31-001333.0 2.0748000144958496 CO(9-8)       2.3314001E13  0.7019
  SDSS_J012845.98+003842.8 2.7583792209625244 CO(11-10)     8.4417E12     0.146 
  SDSS_J013109.99+010612.8 1.047              CO(6-5)       3.10920007E12 0.0188
  SDSS_J013150.85-002701.8 1.4038000106811523 CO(7-6)       4.9774E12     0.3382
  SDSS_J013523.49+001046.3 1.3811999559402466 CO(7-6)       5.1993001E12  0.0588
  SDSS_J013656.31-004623.7 1.715              CO(8-7)       1.07279999E13 0.6767
  SDSS_J013656.53+000041.6 2.0797998905181885 CO(9-8)       6.5662998E12  0.1663
  SDSS_J014457.78-004230.4 3.4622912406921387 CO(13-12)     1.33230001E13 0.3623
  SDSS_J014527.24+004010.5 1.7253999710083008 CO(8-7)       5.6327002E12  0.3521
  SDSS_J014717.04+001034.3 1.6217999458312988 CO(8-7)       1.15229998E13 0.5128
  SDSS_J015034.53-000200.6 1.739400029182434  CO(8-7)       1.0415E13     0.3549
  SDSS_J015117.40+010428.1 2.4053263664245605 CO(10-9)      1.28660003E13 0.2049
  SDSS_J015351.64+010513.6 1.3896000385284424 CO(7-6)       3.91220009E12 0.2454
  SDSS_J015636.96+000530.1 2.613044261932373  CO(11-10)     1.74970005E13 0.0591
  SDSS_J015819.77-001222.0 3.286553144454956  CO(13-12)     2.3578001E13  0.6525
  SDSS_J021026.42+005201.7 1.3813999891281128 CO(7-6)       6.9858E12     0.1382
  SDSS_J021303.25-004303.7 1.7417999505996704 CO(8-7)       6.3331998E12  0.1869
  SDSS_J021700.51+004719.8 2.305              CO(10-9)      1.02770001E13 0.1902
  SDSS_J021934.59+004559.3 1.729200005531311  CO(8-7)       1.1981E13     0.1582
  SDSS_J022031.18-010458.2 1.6374000310897827 CO(8-7)       5.8319999E12  0.1886
