#AGE= 1.000 EEPS=271
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
4 0.180901 3.5042 5.0805 -2.4149 11.2728 13.5683 12.3620 10.9740 10.3652 10.0844 11.8657
5 0.237141 3.5122 5.0217 -2.2057 10.7377 12.9345 11.7579 10.4405 9.8483 9.5713 11.3077
6 0.303833 3.5208 4.9733 -2.0163 10.2418 12.3401 11.1928 9.9430 9.3719 9.1029 10.7855
7 0.316400 3.5223 4.9622 -1.9814 10.1505 12.2318 11.0898 9.8514 9.2843 9.0167 10.6895
8 0.320766 3.5228 4.9569 -1.9681 10.1159 12.1913 11.0510 9.8167 9.2509 8.9839 10.6532
9 0.323301 3.5231 4.9523 -1.9588 10.0925 12.1646 11.0252 9.7934 9.2283 8.9614 10.6289
10 0.327548 3.5234 4.9445 -1.9436 10.0539 12.1212 10.9834 9.7551 9.1908 8.9238 10.5894
11 0.337679 3.5246 4.9316 -1.9130 9.9756 12.0305 10.8972 9.6768 9.1150 8.8487 10.5080
12 0.370139 3.5291 4.9054 -1.8300 9.7585 11.7689 10.6515 9.4581 8.9073 8.6452 10.2786
13 0.411358 3.5359 4.8740 -1.7258 9.4821 11.4295 10.3340 9.1768 8.6458 8.3927 9.9824
14 0.441048 3.5421 4.8467 -1.6443 9.2646 11.1633 10.0828 8.9534 8.4417 8.1987 9.7473
15 0.470987 3.5483 4.8206 -1.5631 9.0466 10.8975 9.8346 8.7291 8.2360 8.0024 9.5126
16 0.488565 3.5527 4.8042 -1.5133 8.9126 10.7317 9.6791 8.5914 8.1116 7.8844 9.3670
17 0.501732 3.5563 4.7921 -1.4750 8.8088 10.6012 9.5553 8.4847 8.0165 7.7948 9.2529
18 0.507522 3.5582 4.7862 -1.4565 8.7570 10.5333 9.4885 8.4322 7.9710 7.7527 9.1944
19 0.505666 3.5575 4.7856 -1.4600 8.7643 10.5407 9.4904 8.4419 7.9802 7.7607 9.2014
20 0.499569 3.5544 4.7869 -1.4767 8.8159 10.6184 9.5667 8.4967 8.0241 7.7978 9.2641
21 0.493097 3.5507 4.7874 -1.4949 8.8910 10.7419 9.6998 8.5721 8.0760 7.8373 9.3628
22 0.490443 3.5482 4.7842 -1.5010 8.9371 10.8200 9.7938 8.6112 8.0924 7.8454 9.4279
23 0.494465 3.5485 4.7761 -1.4855 8.9125 10.7936 9.7659 8.5774 8.0553 7.8082 9.4025
24 0.523197 3.5599 4.7564 -1.3983 8.6475 10.4228 9.3796 8.3085 7.8377 7.6135 9.0875
25 0.542810 3.5672 4.7405 -1.3379 8.4739 10.1875 9.1345 8.1322 7.6918 7.4790 8.8844
26 0.568341 3.5774 4.7229 -1.2605 8.2424 9.8689 8.8053 7.9008 7.5044 7.3079 8.6121
27 0.604237 3.5929 4.7018 -1.1522 7.9090 9.4049 8.3285 7.5734 7.2457 7.0728 8.2177
28 0.862533 3.7041 4.6004 -0.4578 5.8281 6.4845 5.8339 5.6169 5.5481 5.5065 5.9124
29 0.877643 3.7101 4.5940 -0.4201 5.7261 6.3487 5.7262 5.5216 5.4597 5.4230 5.8045
30 0.894678 3.7164 4.5864 -0.3785 5.6150 6.2024 5.6094 5.4177 5.3629 5.3313 5.6873
31 0.913047 3.7231 4.5780 -0.3347 5.4984 6.0508 5.4874 5.3085 5.2609 5.2342 5.5647
32 0.932675 3.7299 4.5684 -0.2883 5.3771 5.8947 5.3612 5.1947 5.1540 5.1322 5.4375
33 0.957970 3.7385 4.5552 -0.2289 5.2242 5.7013 5.2028 5.0511 5.0189 5.0030 5.2778
34 0.979505 3.7451 4.5432 -0.1806 5.1016 5.5485 5.0764 4.9358 4.9101 4.8984 5.1500
35 0.999046 3.7509 4.5315 -0.1375 4.9931 5.4146 4.9649 4.8338 4.8136 4.8053 5.0373
36 1.014787 3.7553 4.5217 -0.1030 4.9073 5.3095 4.8769 4.7530 4.7370 4.7312 4.9483
37 1.031185 3.7597 4.5110 -0.0676 4.8190 5.2018 4.7863 4.6698 4.6579 4.6546 4.8566
38 1.056096 3.7662 4.4945 -0.0148 4.6882 5.0435 4.6525 4.5466 4.5405 4.5408 4.7214
39 1.096065 3.7758 4.4658 0.0686 4.4840 4.8002 4.4442 4.3536 4.3561 4.3616 4.5106
40 1.116075 3.7801 4.4505 0.1092 4.3867 4.6871 4.3455 4.2613 4.2674 4.2752 4.4106
41 1.128917 3.7829 4.4394 0.1360 4.3221 4.6126 4.2801 4.2001 4.2082 4.2176 4.3444
42 1.252513 3.8080 4.3504 0.3712 3.7533 3.9477 3.7024 3.6626 3.6906 3.7129 3.7597
43 1.317566 3.8188 4.3046 0.4817 3.4912 3.6503 3.4379 3.4150 3.4500 3.4773 3.4919
44 1.337730 3.8224 4.2917 0.5155 3.4124 3.5610 3.3584 3.3414 3.3782 3.4069 3.4112
45 1.356007 3.8255 4.2791 0.5467 3.3389 3.4773 3.2843 3.2725 3.3111 3.3409 3.3362
46 1.387029 3.8310 4.2620 0.5955 3.2235 3.3436 3.1676 3.1648 3.2068 3.2389 3.2177
47 1.434271 3.8384 4.2342 0.6671 3.0542 3.1501 2.9964 3.0059 3.0522 3.0871 3.0445
48 1.479413 3.8450 4.2101 0.7311 2.9026 2.9773 2.8435 2.8645 2.9141 2.9513 2.8897
49 1.510420 3.8491 4.1901 0.7766 2.7946 2.8562 2.7347 2.7629 2.8145 2.8530 2.7795
50 1.605983 3.8645 4.1579 0.8971 2.5152 2.5283 2.4522 2.5076 2.5665 2.6092 2.4924
51 1.625595 3.8644 4.1326 0.9273 2.4388 2.4516 2.3757 2.4315 2.4899 2.5325 2.4159
52 1.630251 3.8645 4.1278 0.9339 2.4225 2.4349 2.3595 2.4155 2.4740 2.5165 2.3997
53 1.636199 3.8649 4.1227 0.9419 2.4029 2.4142 2.3398 2.3965 2.4551 2.4976 2.3799
54 1.644055 3.8655 4.1171 0.9522 2.3780 2.3873 2.3149 2.3729 2.4315 2.4743 2.3548
55 1.654189 3.8665 4.1108 0.9652 2.3468 2.3528 2.2835 2.3434 2.4025 2.4455 2.3230
56 1.665863 3.8679 4.1041 0.9802 2.3113 2.3131 2.2477 2.3102 2.3696 2.4127 2.2868
57 1.678011 3.8692 4.0972 0.9956 2.2746 2.2722 2.2109 2.2758 2.3356 2.3791 2.2495
