#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
11 0.116654 3.4951 5.2185 -2.7796 12.2393 14.6667 13.4414 11.9537 11.3075 10.9975 12.8774
12 0.139409 3.4958 5.1477 -2.6290 11.8649 14.2791 13.0600 11.5801 10.9353 10.6235 12.5013
13 0.169214 3.4988 5.0852 -2.4704 11.4611 13.8336 12.6257 11.1756 10.5382 10.2295 12.0874
14 0.197191 3.5034 5.0465 -2.3465 11.1357 13.4476 12.2539 10.8487 10.2226 9.9215 11.7461
15 0.216957 3.5063 5.0210 -2.2681 10.9289 13.2043 12.0196 10.6403 10.0223 9.7257 11.5289
16 0.233289 3.5085 5.0015 -2.2081 10.7704 13.0172 11.8400 10.4805 9.8688 9.5757 11.3621
17 0.249361 3.5107 4.9838 -2.1529 10.6251 12.8452 11.6754 10.3347 9.7283 9.4379 11.2098
18 0.269564 3.5133 4.9643 -2.0892 10.4587 12.6477 11.4872 10.1678 9.5673 9.2796 11.0353
19 0.289790 3.5158 4.9461 -2.0295 10.3023 12.4624 11.3111 10.0109 9.4163 9.1311 10.8715
20 0.303076 3.5175 4.9337 -1.9910 10.2025 12.3442 11.1993 9.9107 9.3196 9.0358 10.7670
21 0.310319 3.5184 4.9283 -1.9717 10.1525 12.2845 11.1432 9.8607 9.2715 8.9883 10.7146
22 0.314834 3.5186 4.9251 -1.9613 10.1263 12.2559 11.1158 9.8346 9.2457 8.9624 10.6881
23 0.317867 3.5186 4.9229 -1.9551 10.1113 12.2412 11.1013 9.8196 9.2305 8.9469 10.6732
24 0.320016 3.5190 4.9231 -1.9506 10.0989 12.2245 11.0859 9.8072 9.2191 8.9361 10.6597
25 0.321659 3.5197 4.9256 -1.9480 10.0906 12.2089 11.0723 9.7985 9.2122 8.9301 10.6491
26 0.323094 3.5198 4.9240 -1.9442 10.0809 12.1980 11.0619 9.7887 9.2027 8.9206 10.6392
27 0.324336 3.5199 4.9210 -1.9391 10.0682 12.1843 11.0488 9.7762 9.1901 8.9079 10.6264
28 0.325499 3.5200 4.9180 -1.9341 10.0555 12.1703 11.0356 9.7635 9.1777 8.8955 10.6135
29 0.326562 3.5202 4.9162 -1.9302 10.0458 12.1592 11.0251 9.7538 9.1682 8.8860 10.6035
30 0.327909 3.5203 4.9138 -1.9255 10.0336 12.1454 11.0122 9.7417 9.1563 8.8742 10.5911
31 0.329057 3.5204 4.9120 -1.9217 10.0242 12.1348 11.0022 9.7321 9.1468 8.8646 10.5814
