#AGE=12.000 EEPS=267
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
13 0.107702 3.5478 5.3634 -2.7486 11.8230 13.5895 12.1879 11.4892 11.1763 11.0089 12.1277
14 0.117580 3.5568 5.3186 -2.6297 11.5147 13.1932 11.8352 11.1886 10.8935 10.7305 11.8001
15 0.128715 3.5659 5.2736 -2.5091 11.2011 12.7928 11.4855 10.8822 10.6032 10.4454 11.4693
16 0.140978 3.5742 5.2324 -2.3951 10.9044 12.4161 11.1621 10.5922 10.3263 10.1739 11.1586
17 0.153493 3.5810 5.1988 -2.2977 10.6514 12.0980 10.8906 10.3447 10.0885 9.9409 10.8948
18 0.165407 3.5861 5.1724 -2.2184 10.4458 11.8437 10.6725 10.1432 9.8940 9.7502 10.6814
19 0.176920 3.5902 5.1500 -2.1503 10.2693 11.6284 10.4867 9.9701 9.7265 9.5860 10.4990
20 0.188886 3.5939 5.1288 -2.0860 10.1030 11.4274 10.3125 9.8070 9.5682 9.4305 10.3273
21 0.203456 3.5978 5.1056 -2.0151 9.9196 11.2077 10.1210 9.6269 9.3932 9.2587 10.1384
22 0.222424 3.6022 5.0793 -1.9331 9.7079 10.9558 9.9007 9.4189 9.1907 9.0599 9.9206
23 0.242584 3.6063 5.0552 -1.8548 9.5057 10.7170 9.6910 9.2201 8.9972 8.8698 9.7127
24 0.263532 3.6101 5.0335 -1.7814 9.3162 10.4959 9.4951 9.0337 8.8157 8.6915 9.5182
25 0.284082 3.6135 5.0170 -1.7184 9.1528 10.3058 9.3259 8.8731 8.6594 8.5382 9.3505
26 0.301172 3.6160 5.0061 -1.6718 9.0316 10.1647 9.2002 8.7539 8.5436 8.4247 9.2259
27 0.312242 3.6175 5.0004 -1.6446 8.9606 10.0820 9.1265 8.6841 8.4759 8.3582 9.1528
28 0.319271 3.6184 4.9980 -1.6291 8.9203 10.0353 9.0848 8.6446 8.4375 8.3206 9.1115
29 0.324244 3.6191 4.9953 -1.6168 8.8882 9.9975 9.0514 8.6131 8.4070 8.2908 9.0784
30 0.328713 3.6197 4.9922 -1.6053 8.8582 9.9625 9.0202 8.5835 8.3783 8.2627 9.0474
31 0.333858 3.6205 4.9905 -1.5938 8.8280 9.9267 8.9887 8.5540 8.3498 8.2349 9.0162
32 0.340723 3.6216 4.9854 -1.5758 8.7810 9.8717 8.9399 8.5079 8.3052 8.1912 8.9679
33 0.349026 3.6230 4.9798 -1.5544 8.7246 9.8049 8.8811 8.4527 8.2520 8.1394 8.9095
34 0.357985 3.6248 4.9728 -1.5299 8.6601 9.7282 8.8137 8.3897 8.1913 8.0802 8.8428
35 0.367062 3.6267 4.9651 -1.5041 8.5922 9.6471 8.7428 8.3234 8.1276 8.0183 8.7726
36 0.376069 3.6287 4.9570 -1.4779 8.5232 9.5645 8.6706 8.2560 8.0631 7.9554 8.7011
37 0.385121 3.6308 4.9487 -1.4515 8.4537 9.4813 8.5979 8.1882 7.9979 7.8920 8.6291
38 0.394950 3.6328 4.9397 -1.4232 8.3791 9.3927 8.5201 8.1154 7.9279 7.8238 8.5519
39 0.429131 3.6405 4.9017 -1.3162 8.0973 9.0521 8.2249 7.8402 7.6632 7.5658 8.2599
40 0.436490 3.6427 4.8931 -1.2913 8.0311 8.9706 8.1551 7.7760 7.6020 7.5066 8.1910
41 0.443685 3.6449 4.8826 -1.2647 7.9604 8.8841 8.0806 7.7073 7.5365 7.4431 8.1174
42 0.451731 3.6476 4.8712 -1.2348 7.8810 8.7862 7.9968 7.6303 7.4632 7.3721 8.0346
43 0.460032 3.6506 4.8596 -1.2033 7.7972 8.6821 7.9081 7.5492 7.3863 7.2977 7.9469
44 0.468498 3.6540 4.8479 -1.1700 7.7081 8.5703 7.8137 7.4632 7.3049 7.2193 7.8536
45 0.476861 3.6577 4.8368 -1.1365 7.6184 8.4563 7.7182 7.3770 7.2237 7.1411 7.7593
46 0.484919 3.6615 4.8266 -1.1037 7.5307 8.3442 7.6250 7.2929 7.1447 7.0654 7.6670
47 0.492780 3.6653 4.8168 -1.0718 7.4450 8.2345 7.5337 7.2109 7.0679 6.9918 7.5769
48 0.500527 3.6691 4.8075 -1.0402 7.3609 8.1268 7.4443 7.1306 6.9927 6.9198 7.4883
49 0.508263 3.6731 4.7984 -1.0085 7.2763 8.0185 7.3543 7.0499 6.9173 6.8477 7.3991
