raMean,decMean,raMeanErr,decMeanErr,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,Ang Sep (')
258.938673,43.1220214,0.002,0.003,20.084,0.017,18.863,0.003,17.784,0.003,17.295,0.003,14.984
258.9425725,43.1650632,0.001,0.002,17.499,0.005,17.195,0.003,17.084,0.002,17.083,0.008,14.882
258.9442391,43.1095996,0.002,0.003,19.229,0.009,18.748,0.006,18.555,0.004,18.488,0.006,14.805
258.9457729,43.1806046,0.026,0.086,13.636,0.019,13.036,-999,12.755,-999,12.611,-999,14.878
258.9458321,43.1191824,0.002,0.004,19.477,0.011,19.007,0.012,18.838,0.003,18.739,0.018,14.683
258.94591,43.0888737,0.01,0.009,19.454,0.01,18.878,0.006,18.666,0.003,18.606,0.019,14.923
258.9459719,43.1412954,0.007,0.012,21.281,0.035,20.752,0.037,20.638,0.018,20.51,0.043,14.64
258.9462252,43.172977,0.002,0.002,19.322,0.013,18.123,0.003,17.189,0.003,16.784,0.007,14.785
258.9477526,43.0785101,0.002,0.005,20.789,0.026,20.05,0.017,19.819,0.008,19.743,0.028,14.977
258.9486679,43.1451961,0.003,0.003,19.381,0.009,19.152,0.006,19.073,0.005,19.091,0.025,14.528
258.9502744,43.1013359,0.011,0.012,21.083,0.046,20.395,0.068,19.903,0.015,19.774,0.064,14.607
258.9511623,43.0752457,0.024,0.037,22.245,0.073,21.441,0.039,21.228,0.021,20.922,0.086,14.879
258.9517108,43.1983582,0.007,0.01,22.129,0.066,20.556,0.025,19.904,0.019,19.666,0.024,14.85
258.9543415,43.1306826,0.017,0.022,21.698,0.115,21.291,0.044,21.016,0.025,20.808,0.075,14.276
258.9548544,43.0910541,0.007,0.006,21.129,0.029,20.009,0.02,18.779,0.006,18.243,0.006,14.513
258.9550498,43.0738274,0.032,0.051,22.128,0.173,21.748,0.052,21.242,0.039,21.048,0.229,14.736
258.9556846,43.1005147,0.004,0.004,19.127,0.007,18.904,0.008,18.834,0.004,18.828,0.015,14.38
258.9557699,43.1348916,0.002,0.002,18.048,0.008,17.679,0.003,17.549,0.003,17.515,0.023,14.209
258.9558462,43.1897377,0.005,0.002,19.591,0.01,18.402,0.008,17.773,0.003,17.5,0.008,14.554
258.9561826,43.1673506,0.004,0.004,21.524,0.043,20.294,0.016,19.113,0.006,18.61,0.014,14.307
258.9561923,43.1737451,0.042,0.043,21.752,0.159,21.897,0.072,21.319,0.034,20.955,0.057,14.361
258.9568894,43.1232293,0.027,0.046,21.582,0.109,21.745,0.101,21.436,0.047,21.147,0.227,14.184
258.9570415,43.1383424,0.024,0.029,21.598,0.238,21.538,0.126,20.72,0.025,20.294,0.123,14.153
258.9570764,43.1935972,0.029,0.045,21.972,0.16,21.811,0.047,21.373,0.038,21.502,0.178,14.554
258.957574,43.2084042,0.025,0.036,22.198,0.137,21.484,0.075,21.108,0.034,20.943,0.074,14.765
258.958618,43.091654,0.005,0.011,21.764,0.043,20.658,0.025,20.095,0.011,19.735,0.045,14.344
258.9590294,43.1128778,0.155,0.268,22.544,0.205,21.939,0.096,21.698,0.072,21.568,0.186,14.14
258.9601114,43.1463134,0.002,0.002,15.535,0.002,15.085,0.002,14.932,0.002,14.893,0.002,14.03
258.960207,43.0985627,0.012,0.012,22.314,0.194,21.506,0.095,20.491,0.01,19.966,0.037,14.203
258.9608042,43.1623427,0.017,0.019,21.492,0.044,20.946,0.033,20.805,0.018,20.727,0.061,14.071
258.9611462,43.1663049,0.016,0.018,22.152,0.173,21.938,0.119,20.683,0.017,20.193,0.039,14.084
258.961509,43.0708389,0.01,0.011,21.851,0.073,20.636,0.029,20.096,0.015,19.939,0.053,14.51
258.9616947,43.1370586,0.025,0.034,22.316,0.169,21.589,0.057,21.32,0.035,21.114,0.312,13.949
258.9622094,43.2229296,0.007,0.004,19.718,0.008,19.48,0.008,19.393,0.008,19.35,0.018,14.851
258.9626692,43.0950815,0.007,0.007,20.834,0.019,20.291,0.028,20.101,0.01,19.983,0.038,14.132
258.963564,43.1180927,0.001,0.003,19.266,0.009,18.571,0.015,18.305,0.004,18.194,0.009,13.914
258.9645243,43.190142,0.005,0.002,20.04,0.024,18.804,0.002,17.295,0.002,16.63,0.005,14.189
258.9649536,43.185004,0.081,0.104,22.286,0.168,21.569,0.084,21.341,0.07,20.965,0.138,14.104
258.9653202,43.1950493,0.006,0.008,22.171,0.053,20.932,0.04,20.274,0.014,19.945,0.017,14.224
258.9653227,43.2246378,0.014,0.013,20.005,0.009,19.734,0.012,19.622,0.007,19.572,0.019,14.76
258.9660623,43.0753428,0.005,0.008,19.251,0.012,18.056,0.006,17.201,0.003,16.829,0.007,14.246
258.9666716,43.2210704,0.005,0.002,19.954,0.02,18.734,0.008,17.858,0.003,17.474,0.005,14.63
258.9671061,43.1197975,0.004,0.004,19.536,0.022,18.997,0.01,18.773,0.003,18.674,0.009,13.751
258.9671623,43.19324,0.013,0.021,21.459,0.04,20.705,0.064,20.458,0.017,20.43,0.079,14.12
258.9673467,43.1810742,0.021,0.033,22.345,0.063,21.397,0.04,21.167,0.038,21.079,0.048,13.955
258.9673568,43.1429615,0.003,0.002,19.778,0.006,18.681,0.007,17.45,0.002,16.904,0.005,13.706
258.9678553,43.0656756,0.014,0.01,21.884,0.1,20.427,0.023,19.85,0.017,19.571,0.036,14.332
