#AGE= 1.500 EEPS=272
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
3 0.105747 3.5080 5.2992 -2.8515 12.3399 14.5931 13.3533 12.0304 11.4493 11.1935 12.9011
4 0.120504 3.5081 5.2382 -2.7335 12.0441 14.2896 13.0535 11.7351 11.1549 10.8983 12.6041
5 0.140932 3.5085 5.1695 -2.5954 11.6963 13.9285 12.6974 11.3875 10.8097 10.5529 12.2534
6 0.184903 3.5139 5.0893 -2.3759 11.1252 13.2800 12.0649 10.8145 10.2548 10.0063 11.6601
7 0.238198 3.5220 5.0334 -2.1768 10.6047 12.6621 11.4711 10.2928 9.7583 9.5164 11.1113
8 0.292791 3.5297 4.9922 -2.0154 10.1792 12.1524 10.9816 9.8658 9.3549 9.1204 10.6601
9 0.310804 3.5323 4.9765 -1.9635 10.0418 11.9885 10.8233 9.7279 9.2254 8.9937 10.5140
10 0.317001 3.5332 4.9690 -1.9440 9.9906 11.9283 10.7651 9.6765 9.1768 8.9461 10.4599
11 0.320474 3.5336 4.9635 -1.9318 9.9590 11.8919 10.7297 9.6450 9.1467 8.9164 10.4267
12 0.324927 3.5341 4.9551 -1.9157 9.9181 11.8464 10.6857 9.6041 9.1070 8.8769 10.3847
13 0.330130 3.5348 4.9467 -1.8979 9.8722 11.7938 10.6356 9.5582 9.0626 8.8329 10.3369
14 0.337372 3.5355 4.9368 -1.8753 9.8140 11.7271 10.5718 9.5000 9.0065 8.7774 10.2765
15 0.353260 3.5378 4.9255 -1.8356 9.7091 11.5991 10.4512 9.3942 8.9071 8.6803 10.1648
16 0.378598 3.5421 4.9070 -1.7717 9.5392 11.3905 10.2549 9.2216 8.7470 8.5259 9.9824
17 0.436336 3.5537 4.8534 -1.6072 9.0965 10.8496 9.7330 8.7756 8.3404 8.1349 9.5032
18 0.456332 3.5586 4.8331 -1.5482 8.9369 10.6520 9.5427 8.6141 8.1952 7.9963 9.3290
19 0.468248 3.5618 4.8207 -1.5121 8.8386 10.5285 9.4221 8.5141 8.1068 7.9128 9.2202
20 0.482354 3.5658 4.8060 -1.4683 8.7187 10.3774 9.2745 8.3935 8.0004 7.8119 9.0875
21 0.492842 3.5691 4.7939 -1.4336 8.6221 10.2540 9.1517 8.2978 7.9171 7.7327 8.9797
22 0.499006 3.5710 4.7854 -1.4117 8.5600 10.1748 9.0712 8.2380 7.8652 7.6829 8.9104
23 0.502179 3.5716 4.7796 -1.3998 8.5292 10.1414 9.0386 8.2097 7.8387 7.6554 8.8789
