#AGE= 6.000 EEPS=270
#EEP M/Mo LogTeff LogG LogL/Lo open gp1 rp1 ip1 zp1 yp1 wp1
10 0.120012 3.4775 5.1612 -2.7810 12.3747 14.9818 13.7352 12.1484 11.4071 11.0157 13.1070
11 0.146419 3.4816 5.0998 -2.6163 11.9588 14.5144 13.2821 11.7278 10.9993 10.6110 12.6766
12 0.174896 3.4876 5.0539 -2.4699 11.5896 14.0838 12.8729 11.3552 10.6388 10.2545 12.2922
13 0.200366 3.4927 5.0211 -2.3575 11.2951 13.7342 12.5397 11.0564 10.3527 9.9764 11.9820
14 0.221280 3.4961 4.9959 -2.2753 11.0730 13.4721 12.2869 10.8297 10.1368 9.7693 11.7466
15 0.239560 3.4989 4.9756 -2.2096 10.8935 13.2601 12.0821 10.6466 9.9625 9.6024 11.5561
16 0.257785 3.5014 4.9569 -2.1490 10.7254 13.0605 11.8888 10.4746 9.7995 9.4472 11.3768
17 0.277283 3.5040 4.9389 -2.0890 10.5595 12.8634 11.6985 10.3048 9.6386 9.2939 11.1999
18 0.293692 3.5060 4.9249 -2.0417 10.4317 12.7133 11.5552 10.1746 9.5146 9.1740 11.0649
19 0.304720 3.5074 4.9154 -2.0108 10.3483 12.6158 11.4622 10.0897 9.4336 9.0957 10.9770
20 0.311663 3.5080 4.9108 -1.9939 10.3033 12.5643 11.4128 10.0438 9.3896 9.0530 10.9298
21 0.316316 3.5088 4.9104 -1.9838 10.2737 12.5260 11.3772 10.0132 9.3616 9.0268 10.8973
22 0.319954 3.5092 4.9065 -1.9734 10.2463 12.4949 11.3474 9.9853 9.3348 9.0006 10.8687
23 0.322781 3.5095 4.9022 -1.9641 10.2224 12.4682 11.3218 9.9612 9.3113 8.9774 10.8441
24 0.325442 3.5097 4.8978 -1.9550 10.1987 12.4418 11.2967 9.9374 9.2880 8.9544 10.8198
25 0.327098 3.5100 4.8986 -1.9527 10.1915 12.4321 11.2878 9.9299 9.2814 8.9484 10.8117
26 0.328617 3.5102 4.9012 -1.9521 10.1887 12.4265 11.2828 9.9265 9.2791 8.9468 10.8078
27 0.331719 3.5105 4.8970 -1.9428 10.1649 12.4001 11.2577 9.9026 9.2556 8.9235 10.7834
28 0.335841 3.5109 4.8923 -1.9310 10.1341 12.3652 11.2246 9.8716 9.2255 8.8939 10.7516
29 0.339331 3.5115 4.8944 -1.9266 10.1211 12.3474 11.2084 9.8578 9.2133 8.8826 10.7368
30 0.347864 3.5124 4.8892 -1.9069 10.0687 12.2861 11.1508 9.8047 9.1624 8.8330 10.6820
31 0.504005 3.5418 4.7611 -1.5004 9.0018 11.0130 9.9985 8.7129 8.1310 7.8290 9.5603
32 0.529006 3.5493 4.7419 -1.4301 8.8184 10.7879 9.7967 8.5216 7.9569 7.6638 9.3631
33 0.556704 3.5589 4.7220 -1.3497 8.6045 10.5142 9.5452 8.2983 7.7581 7.4781 9.1273
34 0.585126 3.5698 4.7026 -1.2651 8.3693 10.1966 9.2423 8.0537 7.5471 7.2851 8.8595
35 0.612471 3.5812 4.6852 -1.1825 8.1241 9.8510 8.9017 7.8008 7.3371 7.0977 8.5719
36 0.637262 3.5921 4.6703 -1.1069 7.8838 9.5024 8.5482 7.5562 7.1414 6.9272 8.2834
